baseMean	log2FoldChange	lfcSE	pvalue	padj
JJAGMNAF_00001	1960.61234008692	-0.787653949628904	0.0748147557313594	4.49594520590774e-26	1.78059436832242e-25
JJAGMNAF_00002	687.219931785777	1.73502090532937	0.110540600408929	4.14969363582758e-56	3.1581041351999e-55
JJAGMNAF_00003	2434.55257884542	1.7468861015072	0.0843681135352678	9.5811838665466e-96	1.45488687717608e-94
JJAGMNAF_00004	975.060311997557	-1.16910167859603	0.110961576445037	2.91412077092956e-26	1.16274507472706e-25
JJAGMNAF_00005	133.648620352223	-1.14350679573616	0.193551293348595	1.69156227890422e-09	3.52849319115178e-09
JJAGMNAF_00006	831.49837023965	-0.173996129932596	0.107326986323024	0.102894093214856	0.121025210961968
JJAGMNAF_00007	813.666131107175	-1.51161286851981	0.115198632356225	8.36820915300776e-40	4.71208121726483e-39
JJAGMNAF_00008	1841.81059828752	-1.30627706802708	0.0847119863550037	5.07544124959341e-54	3.67912076101749e-53
JJAGMNAF_00009	998.204000759563	-1.98081977699194	0.114845694612891	2.2599685781209e-67	2.18759496202398e-66
JJAGMNAF_00010	6297.72184654242	3.14820510139944	0.156080640446641	2.39737688564695e-91	3.36894541298808e-90
JJAGMNAF_00011	175.457434528996	-2.820989978743	0.210904214262385	1.16494024835243e-41	6.8235256960168e-41
JJAGMNAF_00012	3340.0518426812	0.276761914815426	0.151954161895685	0.0671303298691697	0.0809505370345576
JJAGMNAF_00013	3137.45883011608	-0.747130431289451	0.119226940173127	2.58030120437119e-10	5.60114163875698e-10
JJAGMNAF_00014	2990.99660998824	-1.07545220965277	0.104747948627647	4.40130490225708e-25	1.69492558976342e-24
JJAGMNAF_00015	287.489488674105	-1.63257751366908	0.145184417216947	7.11071546495703e-30	3.11239512974349e-29
JJAGMNAF_00016	1700.24445693171	3.39588916227994	0.164850718837156	2.56699693194429e-95	3.87955574054221e-94
JJAGMNAF_00017	4635.05437378368	1.22935033736864	0.122390582195549	4.46362005951612e-24	1.65717713449474e-23
JJAGMNAF_00018	5216.35646202168	-0.957513733153428	0.0759962202985546	1.34996428782532e-36	6.93154740094921e-36
JJAGMNAF_00019	10184.1598124484	7.24986722279933	0.0977746419524022	0	0
JJAGMNAF_00021	44.2319913459099	-0.459537978577839	0.292583990589431	0.0999391588435499	0.117852434646571
JJAGMNAF_00022	2284.30171687481	1.00203276776965	0.144292436516509	2.23132790805606e-12	5.32725381327245e-12
JJAGMNAF_00023	6090.02178018469	-1.22396604918409	0.104309477619714	3.90514976807821e-32	1.82126635471945e-31
JJAGMNAF_00024	61.8340819908731	-0.169954763618137	0.320598282515596	0.574672164788942	0.605674215784135
JJAGMNAF_00025	150.481133345945	-2.12740270597579	0.182540552981899	4.9661504138034e-32	2.30936805890074e-31
JJAGMNAF_00026	22.1693828760749	-2.46883103132992	0.463890320292221	1.90652874025351e-08	3.75446716888276e-08
JJAGMNAF_00027	243.673591086427	-1.17418829685237	0.145687547713527	3.83355326957598e-16	1.06620700310082e-15
JJAGMNAF_00028	4442.74941467733	-0.312145576965185	0.097876979199817	0.00126460656337155	0.00178022822014167
JJAGMNAF_00029	4231.27121784601	-0.570449800995002	0.111187752642411	2.410719938723e-07	4.42126312745763e-07
JJAGMNAF_00030	1720.23550362978	-0.848104060193598	0.0847075307663067	9.08771937042264e-24	3.35836826560948e-23
JJAGMNAF_00031	248.094838500497	0.290558816211217	0.158499011917206	0.063754985956217	0.0771416068745163
JJAGMNAF_00032	99.5258458501609	-0.191562768703118	0.235510626424285	0.402939556260965	0.434832717500886
JJAGMNAF_00033	50.0906189939331	1.2343694379717	0.298171403151289	1.48157566074929e-05	2.4182213026188e-05
JJAGMNAF_00034	62.267028516342	0.527035822649635	0.250921865091863	0.02987883904294	0.0374977674475439
JJAGMNAF_00036	80.2549193253548	2.26154443562077	0.258833119099983	3.2159267770097e-19	9.97466543421014e-19
JJAGMNAF_00037	117.064521549962	0.0542710833171038	0.197514815395017	0.779732708644306	0.800468951777109
JJAGMNAF_00041	38.0354367975072	-0.0824060378205855	0.293958563625949	0.768679547723354	0.790388084372794
JJAGMNAF_00045	38.8756326293553	0.121369829554084	0.299959119723984	0.673121897292841	0.699313410806181
JJAGMNAF_00046	24.4427876528719	-1.7691668078227	0.416765822977609	5.86594210758945e-06	9.90225422166311e-06
JJAGMNAF_00047	184.807510482138	-0.0587360327926123	0.177978489464075	0.735909456098729	0.758568277395538
JJAGMNAF_00049	5864.78609984382	-0.637082178164736	0.0692671170393416	2.83839432177531e-20	9.23270599692192e-20
JJAGMNAF_00050	3129.94330705271	0.167069571205967	0.0840695781845051	0.0463282178152493	0.0568283345635753
JJAGMNAF_00051	697.6015054651	-0.206481643919807	0.110514202292754	0.0600089705975532	0.0728290688615759
JJAGMNAF_00052	109.489778301827	0.0480570597443217	0.182886329590213	0.788473134774602	0.807630410427693
JJAGMNAF_00053	638.413321101609	0.259902830404196	0.131586969562598	0.0465478613902683	0.0570759081111442
JJAGMNAF_00054	305.208247335015	0.31156026260487	0.121336200629143	0.00962861862452064	0.0126073126575252
JJAGMNAF_00055	282.449291172284	0.237552835857969	0.159717866069402	0.132207162315542	0.152755769224305
JJAGMNAF_00056	332.099104417225	0.804665606457196	0.131516856840403	6.3987813645833e-10	1.36586912006162e-09
JJAGMNAF_00057	475.891023920532	0.802494908825699	0.131103013429041	6.80938666608686e-10	1.45254826086167e-09
JJAGMNAF_00058	659.351570467558	0.359554913969026	0.10168065636861	0.000371232763585195	0.000544610702622237
JJAGMNAF_00059	439.923846692184	0.897121909227927	0.106492698348551	2.44533374231696e-17	7.10321786979469e-17
JJAGMNAF_00060	829.440834605418	0.494174302774332	0.110171043171297	6.47878133534739e-06	1.08908790128295e-05
JJAGMNAF_00061	292.407847129944	0.910812075409695	0.141244394259372	7.28902866266771e-11	1.62519469973468e-10
JJAGMNAF_00062	179.352662935582	0.843861333966	0.166519155384698	2.62035866004124e-07	4.79476250529534e-07
JJAGMNAF_00063	387.295505512298	0.286437549194207	0.116659570803202	0.0134898238834999	0.0175056280772514
JJAGMNAF_00064	200.201384022204	-0.150258970498306	0.152686082723273	0.31993295914471	0.350809445961551
JJAGMNAF_00065	76.8357233026882	0.415819197718856	0.202437838020384	0.035958202547079	0.0446897133284877
JJAGMNAF_00066	47.4835988829376	0.120864398817169	0.33233920584499	0.702635332538292	0.726676438170654
JJAGMNAF_00068	62.3284775811443	0.960969654362607	0.255711641864965	0.000102258499238685	0.000156091582449141
JJAGMNAF_00069	57.5066433491625	1.30452929386186	0.263627511811597	3.27575822468263e-07	5.92967759993398e-07
JJAGMNAF_00070	47.5598949508648	2.85288629137193	0.423796937044564	3.72883541881229e-12	8.81711341835763e-12
JJAGMNAF_00071	123.460443286543	0.683422435626883	0.173956087210221	6.6502761285972e-05	0.000103034258781554
JJAGMNAF_00072	39.9385667288212	2.51408455857249	0.340513518521404	2.36527248478562e-14	6.17128097821915e-14
JJAGMNAF_00073	81.5975692796024	-0.516264381954953	0.224212477729248	0.0181542352437516	0.0232571650223831
JJAGMNAF_00074	169.600591535096	1.47033888206783	0.178615580067968	6.08610477814038e-17	1.73486474280799e-16
JJAGMNAF_00075	672.700580554372	0.899292028725913	0.0926059759623911	1.72070632138594e-22	6.13252842460574e-22
JJAGMNAF_00076	249.925057948952	0.221080866310227	0.137051786076319	0.103149450638645	0.121281042145401
JJAGMNAF_00077	256.076316484245	-0.164035964302933	0.134745879039203	0.219369694449034	0.246704282560444
JJAGMNAF_00078	1289.88459933339	0.0969778732909294	0.0787872921938264	0.216358430344006	0.24365989835578
JJAGMNAF_00079	474.260971739139	-0.228586993246742	0.143378184129849	0.10669072727745	0.125077603438328
JJAGMNAF_00080	311.940427253601	-0.584594507333285	0.148719109392178	7.03366585947624e-05	0.00010871136234328
JJAGMNAF_00081	841.285599661602	-1.1463870319814	0.0888699529562101	2.20097483464089e-38	1.1812266951741e-37
JJAGMNAF_00082	4638.33982833271	-0.441303386407546	0.0784865251718492	1.6810832468325e-08	3.31866341518875e-08
JJAGMNAF_00083	791.591826197512	0.591951937716293	0.114660263635167	2.05165460028578e-07	3.78222171422074e-07
JJAGMNAF_00084	82.7479116867876	0.673326165175722	0.2026448451823	0.000692534642649567	0.00099367711377036
JJAGMNAF_00085	59.5851123943579	-0.39542037829618	0.271423277592899	0.130007349110032	0.150376731605972
JJAGMNAF_00086	989.262133049755	-0.145647785544662	0.102390721969461	0.152451754406492	0.174885578631723
JJAGMNAF_00087	1843.73046866826	-0.285545476830437	0.0872797680506716	0.00103425374900013	0.00146561212374897
JJAGMNAF_00088	140.572629819461	-0.843836165195682	0.168170871076486	3.58302092075652e-07	6.47490075019961e-07
JJAGMNAF_00089	716.85380045372	0.110692530113932	0.124162033700503	0.368417552911678	0.400138928653903
JJAGMNAF_00090	353.059985170658	0.536773865316918	0.120512167504372	7.04188136272143e-06	1.18064824103399e-05
JJAGMNAF_00091	82.2410121921788	0.258758209468535	0.234714122585024	0.25764659461818	0.286831024724339
JJAGMNAF_00092	748.334325685245	-0.678067938552521	0.107717482707522	2.35233865208358e-10	5.11669588681317e-10
JJAGMNAF_00093	358.502860330478	-0.456216314823486	0.14239123328483	0.00119393218946457	0.00168369662634001
JJAGMNAF_00094	141.106384609739	0.631024180478995	0.160165675268198	6.48983969555135e-05	0.000100792275252286
JJAGMNAF_00095	314.916982506833	1.18607781996413	0.129621424814474	2.94244818471067e-20	9.55177708593007e-20
JJAGMNAF_00096	145.709615610276	1.03208118326463	0.217781962827705	1.27203751266273e-06	2.23076529314252e-06
JJAGMNAF_00097	1027.19616353091	-0.093442203187877	0.0853869784739565	0.271629550990244	0.301246480225941
JJAGMNAF_00098	424.589709128946	-0.430754417518898	0.124061637189009	0.00046026580729121	0.000670009834875528
JJAGMNAF_00099	493.005249987979	0.275421569350207	0.105156626566777	0.00852384241949361	0.0112203743270573
JJAGMNAF_00100	429.449842129121	-0.0117785755722375	0.122305025393704	0.920939559138105	0.927598348782926
JJAGMNAF_00101	1780.27287919691	0.553746096644541	0.0831048241697997	2.2963168211249e-11	5.22913937091982e-11
JJAGMNAF_00102	1221.27500127875	-0.232179364747332	0.0868927542707818	0.00728352832886407	0.00963916760251156
JJAGMNAF_00103	748.991845833416	0.310930489157146	0.111793288317793	0.00519593393088435	0.00695686264711804
