baseMean	log2FoldChange	lfcSE	pvalue	padj
JJAGMNAF_00001	1960.61234008692	-0.327181184372235	0.0845448046513674	0.000102021977081235	0.0001682338726548
JJAGMNAF_00002	687.219931785777	1.19544193722043	0.127992404418125	4.79387555809462e-21	1.80913748976857e-20
JJAGMNAF_00003	2434.55257884542	2.32418209318546	0.094029763686037	1.6806345139373e-135	5.33143859668822e-134
JJAGMNAF_00004	975.060311997557	-1.68852966751803	0.132763821846458	1.12939127156089e-37	7.10917413375458e-37
JJAGMNAF_00005	133.648620352223	-1.5732905073973	0.24875396236999	7.64367843485452e-11	1.91330825822452e-10
JJAGMNAF_00006	831.49837023965	-0.929005292703864	0.129127900671232	3.91546891939197e-13	1.08522166243355e-12
JJAGMNAF_00007	813.666131107175	-1.66066365711967	0.13631290204159	1.0849988007741e-34	6.32061119578224e-34
JJAGMNAF_00008	1841.81059828752	-1.57909301144875	0.0995495163340424	3.38025064938822e-57	3.28191608504238e-56
JJAGMNAF_00009	998.204000759563	-2.91109537331211	0.145827517371925	1.15893258186968e-89	1.98567914027298e-88
JJAGMNAF_00010	6297.72184654242	1.61130525731009	0.174894299255996	1.21853787030894e-20	4.51874460239564e-20
JJAGMNAF_00011	175.457434528996	-2.82668924387653	0.266090675971096	4.07135832377478e-27	1.87422874559977e-26
JJAGMNAF_00012	3340.0518426812	0.117288118680484	0.169931310689528	0.49002083619289	0.525972113622118
JJAGMNAF_00013	3137.45883011608	-0.65870023087398	0.134060432638871	7.15452052989147e-07	1.41500517146742e-06
JJAGMNAF_00014	2990.99660998824	-1.16265578354538	0.118802316273442	7.36834204934475e-23	2.96958087120762e-22
JJAGMNAF_00015	287.489488674105	-2.14614610223064	0.188563301446919	1.15046801053571e-30	5.92620499317752e-30
JJAGMNAF_00016	1700.24445693171	2.71388019443223	0.184806780575167	1.22627394061172e-49	1.02051472875843e-48
JJAGMNAF_00017	4635.05437378368	1.12220109813762	0.137030892120805	1.42160289739728e-16	4.52315360800486e-16
JJAGMNAF_00018	5216.35646202168	-0.618932376895397	0.0854779465969022	3.56825040577783e-13	9.89841930745643e-13
JJAGMNAF_00019	10184.1598124484	7.85244126215357	0.103668582480291	0	0
JJAGMNAF_00021	44.2319913459099	-0.33953702084249	0.34154642388996	0.289764433788481	0.325870567166828
JJAGMNAF_00022	2284.30171687481	-0.3374724515123	0.162926911088549	0.0353786075195613	0.0449635297471933
JJAGMNAF_00023	6090.02178018469	-1.15024600228098	0.117358903879067	5.17412909198726e-23	2.08789793585985e-22
JJAGMNAF_00024	61.8340819908731	0.360648207274671	0.35876040959979	0.28244046717723	0.318239492080295
JJAGMNAF_00025	150.481133345945	-2.13421587299906	0.231916174647277	8.10449328743615e-21	3.03350426319456e-20
JJAGMNAF_00026	22.1693828760749	-2.5649658936344	0.628964430773098	1.00697243635397e-05	1.81970653473103e-05
JJAGMNAF_00027	243.673591086427	-1.91226335007159	0.194068397314583	1.76307789522695e-23	7.26079894126882e-23
JJAGMNAF_00028	4442.74941467733	-0.984699953351418	0.111493491955143	6.40797716477519e-19	2.21718777925915e-18
JJAGMNAF_00029	4231.27121784601	-0.759510153870127	0.125528559475438	9.7271153890054e-10	2.28991019150428e-09
JJAGMNAF_00030	1720.23550362978	-1.01830476306548	0.098436815463172	2.45941598452424e-25	1.07356523357162e-24
JJAGMNAF_00031	248.094838500497	0.273109493053395	0.183573665280538	0.130500685870318	0.154574564705545
JJAGMNAF_00032	99.5258458501609	0.553307236645912	0.263551963889435	0.0297095507448965	0.0381520643633862
JJAGMNAF_00033	50.0906189939331	1.39913933282388	0.34132550494815	1.51662782009106e-05	2.70711729001211e-05
JJAGMNAF_00034	62.267028516342	1.5469724262927	0.277979353040102	8.23529525138366e-09	1.8413039766527e-08
JJAGMNAF_00036	80.2549193253548	2.65863098224767	0.286601752930165	1.95040442944586e-21	7.45715488298871e-21
JJAGMNAF_00037	117.064521549962	1.00198704987828	0.219447888930573	2.76932208765687e-06	5.23475396392485e-06
JJAGMNAF_00041	38.0354367975072	0.288232179230593	0.336039392301308	0.364555020514476	0.40290937762276
JJAGMNAF_00045	38.8756326293553	0.928974426480195	0.339444348969037	0.00368186051500305	0.00524763393686378
JJAGMNAF_00046	24.4427876528719	-1.37288372033878	0.492553537757243	0.0020245516316101	0.00297553368242145
JJAGMNAF_00047	184.807510482138	0.211978010104877	0.203521040805808	0.28846214387128	0.324747965201539
JJAGMNAF_00049	5864.78609984382	-0.452502378378901	0.0780983364084788	5.86762530001574e-09	1.32207253595291e-08
JJAGMNAF_00050	3129.94330705271	-0.695240765853968	0.0971028699945759	6.04319635414276e-13	1.65490607851909e-12
JJAGMNAF_00051	697.6015054651	-0.312792138681751	0.128357816176745	0.0139297068873832	0.0186974364755659
JJAGMNAF_00052	109.489778301827	0.831618671342475	0.204541039693668	3.20032107436852e-05	5.5606446433171e-05
JJAGMNAF_00053	638.413321101609	0.636180913183861	0.148655858708245	1.51871903289357e-05	2.70934063551837e-05
JJAGMNAF_00054	305.208247335015	0.394563488121026	0.141646294021067	0.00487188028371648	0.0068643379195372
JJAGMNAF_00055	282.449291172284	-0.158916992569517	0.187889164348572	0.389253567004074	0.428138835798507
JJAGMNAF_00056	332.099104417225	-0.00533738691900075	0.159333381362965	0.972810003615188	0.976161369114645
JJAGMNAF_00057	475.891023920532	0.946645422118271	0.149215955152698	1.44948915876606e-10	3.57243328052806e-10
JJAGMNAF_00058	659.351570467558	0.560190236233052	0.116403068693034	1.3515527465305e-06	2.61338261912114e-06
JJAGMNAF_00059	439.923846692184	0.862167983816134	0.123817414508781	2.25809792893132e-12	6.01408625461009e-12
JJAGMNAF_00060	829.440834605418	1.02622338277422	0.123922764403207	7.38988734152023e-17	2.38201197607956e-16
JJAGMNAF_00061	292.407847129944	0.597212421536399	0.165468082580464	0.000249484600127691	0.000396502310917223
JJAGMNAF_00062	179.352662935582	0.842769551541329	0.192983069812662	8.27382069427176e-06	1.50535613313156e-05
JJAGMNAF_00063	387.295505512298	0.187153032230331	0.137039822391461	0.167828116977711	0.195962568074558
JJAGMNAF_00064	200.201384022204	-0.0514876151464919	0.178716349902045	0.768626116315068	0.790840743954232
JJAGMNAF_00065	76.8357233026882	0.577364997413748	0.237465132824764	0.0122460988972355	0.0165345557803383
JJAGMNAF_00066	47.4835988829376	0.550784447977219	0.378508923525192	0.118268588342619	0.140919508014039
JJAGMNAF_00068	62.3284775811443	1.6663789562639	0.285930299053093	1.68631986373204e-09	3.91519481405613e-09
JJAGMNAF_00069	57.5066433491625	1.58199147376897	0.300845440329927	4.65421567196966e-08	9.90179748538565e-08
JJAGMNAF_00070	47.5598949508648	3.00909430516809	0.471033688437054	3.23011228254678e-11	8.26619788600631e-11
JJAGMNAF_00071	123.460443286543	0.97044922999211	0.200348758182222	7.75903093879776e-07	1.52608564321105e-06
JJAGMNAF_00072	39.9385667288212	2.10190619274784	0.395895135033486	2.06913027517082e-08	4.494571797727e-08
JJAGMNAF_00073	81.5975692796024	-0.167831510679436	0.256821086331136	0.498807154313502	0.534865502818092
JJAGMNAF_00074	169.600591535096	1.89565809570005	0.200533526286141	7.0865709611689e-22	2.74219485019144e-21
JJAGMNAF_00075	672.700580554372	0.451972892429001	0.109681267983613	3.39208752383934e-05	5.88427094010895e-05
JJAGMNAF_00076	249.925057948952	0.471522106231482	0.157895754784643	0.0025034453374143	0.00364427026854858
JJAGMNAF_00077	256.076316484245	-0.00292450924260102	0.15709843939045	0.98466663739524	0.985897470691984
JJAGMNAF_00078	1289.88459933339	0.112639620284446	0.090801110443311	0.213006802152916	0.244089339806131
JJAGMNAF_00079	474.260971739139	-0.0289275996355572	0.163087303992839	0.85631081936811	0.87016170797825
JJAGMNAF_00080	311.940427253601	-0.506232231306748	0.172854390847282	0.0029358609579204	0.00422954069657237
JJAGMNAF_00081	841.285599661602	-1.52066797130057	0.109567603274135	2.9689782377534e-44	2.19690676068404e-43
JJAGMNAF_00082	4638.33982833271	-0.168265163762724	0.0882389419328377	0.0554634691536311	0.0691997488972874
JJAGMNAF_00083	791.591826197512	0.614706655204249	0.130602088175016	2.08550953585273e-06	3.97736461480485e-06
JJAGMNAF_00084	82.7479116867876	0.870951440132958	0.235682420126848	0.000142731850923524	0.000231668110617513
JJAGMNAF_00085	59.5851123943579	0.450316101203511	0.298086592074214	0.11391624106129	0.135904832034209
JJAGMNAF_00086	989.262133049755	-0.271770275103344	0.118160218168296	0.0213875265515828	0.028049789222788
JJAGMNAF_00087	1843.73046866826	-0.749320146541046	0.101556725089077	1.11089301305298e-13	3.15261400692803e-13
JJAGMNAF_00088	140.572629819461	-0.290543351996901	0.190616216391098	0.120530052230989	0.143400775101407
JJAGMNAF_00089	716.85380045372	1.17097818382093	0.138055685777072	1.06462923738074e-17	3.53478971665066e-17
JJAGMNAF_00090	353.059985170658	0.675620497277308	0.139075188742001	9.15703524874541e-07	1.79115634535899e-06
JJAGMNAF_00091	82.2410121921788	-0.0895218931177136	0.280194775281482	0.739337027439525	0.763340592053644
JJAGMNAF_00092	748.334325685245	-1.14378608067569	0.129526393198535	4.76853136816592e-19	1.65888973980495e-18
JJAGMNAF_00093	358.502860330478	-0.278200069669229	0.163734832773418	0.0845791043969056	0.102960277540914
JJAGMNAF_00094	141.106384609739	0.172784476331724	0.196082854942955	0.369431675417892	0.40773650983084
JJAGMNAF_00095	314.916982506833	0.937305423295805	0.151664339426637	3.98719511291214e-10	9.59802640253231e-10
JJAGMNAF_00096	145.709615610276	0.666939513346837	0.251400390779158	0.0062290937984168	0.00866985948311356
JJAGMNAF_00097	1027.19616353091	0.131294855608735	0.0977348944646415	0.177038058861268	0.206040661311843
JJAGMNAF_00098	424.589709128946	0.295842426082628	0.138366255659773	0.0308456305049673	0.0395317600551661
JJAGMNAF_00099	493.005249987979	0.542776101717005	0.120589306211708	5.67650015819256e-06	1.04706427788422e-05
JJAGMNAF_00100	429.449842129121	0.166503901377617	0.140596767318822	0.231491282566566	0.263831062436972
JJAGMNAF_00101	1780.27287919691	0.216180000164821	0.0954390266067404	0.0229797143648667	0.0299796170659066
JJAGMNAF_00102	1221.27500127875	0.262412209415733	0.0979961581149735	0.00716780301007217	0.00992036321566792
JJAGMNAF_00103	748.991845833416	0.405390563336664	0.12754655976901	0.00137032243510344	0.00203925363774799
JJAGMNAF_00104	1092.42878025514	1.10563971851368	0.0990875091733793	3.23311824766729e-29	1.59613418575131e-28
JJAGMNAF_00105	137.836480947701	-1.02102654665556	0.204676048368257	3.44730698239014e-07	7.0039134886354e-07
JJAGMNAF_00106	373.053045000524	0.585799297148742	0.166990898601281	0.000370791014670035	0.000580936142299653
JJAGMNAF_00109	463.320969645845	0.932529054837627	0.13393551664016	2.01728437864613e-12	5.38166457050974e-12
JJAGMNAF_00112	32.8267367704411	0.0984576710549071	0.339323406392771	0.759713259101852	0.781921388423493
JJAGMNAF_00113	63.9629230440042	-0.317843091037441	0.267191624795614	0.2129101466341	0.244065871132614
JJAGMNAF_00114	20.042134614413	-1.68434853494189	0.59635950794696	0.00116452402297785	0.00174596863342116
JJAGMNAF_00116	269.188988231516	1.66753883163346	0.157227469061762	8.19228412509011e-27	3.74437636758755e-26
JJAGMNAF_00117	107.496497372698	1.15730431119707	0.234669051055852	4.13262499047422e-07	8.3217656410275e-07
JJAGMNAF_00118	2874.51273821147	5.30893950972037	0.170370495136306	3.65232405609284e-215	2.54392310341771e-213
JJAGMNAF_00119	638.330104349376	-0.419381273242461	0.161344065037636	0.0083469072730043	0.011458222323353
JJAGMNAF_00120	71.2831610478729	0.437985281928147	0.283148056044774	0.106022413082701	0.12708410457051
JJAGMNAF_00127	75.4628165143552	-1.0788817213245	0.298684464788354	0.000159022876946524	0.000256938627199527
JJAGMNAF_00128	164.416633125245	0.397554247846482	0.172757450106893	0.019529394844463	0.0256969942840491
JJAGMNAF_00130	873.951641978037	2.33402856098893	0.108420998255289	1.31502164804375e-103	2.8277378257263e-102
JJAGMNAF_00131	32.3365997903423	-0.835283334345481	0.383178577563587	0.0186290975672168	0.0245830430829335
JJAGMNAF_00132	90.6520693061548	-0.983095610492913	0.263940268868254	0.000112593815787048	0.000184527153852532
