baseMean	log2FoldChange	lfcSE	pvalue	padj
JJAGMNAF_00001	1960.61234008692	-0.577920997884648	0.159129865343233	0.000233152729589949	0.000387459204152592
JJAGMNAF_00002	687.219931785777	1.52843713309136	0.19163938735533	4.53797782994202e-16	1.66357905802451e-15
JJAGMNAF_00003	2434.55257884542	1.98708088161801	0.196415462216449	8.31407949470987e-25	4.53032494915823e-24
JJAGMNAF_00004	975.060311997557	-1.33597505213536	0.185458778876569	2.64177919045602e-13	8.4389436951357e-13
JJAGMNAF_00005	133.648620352223	-1.28572102102262	0.212050997814274	6.18023348227589e-10	1.61249740042443e-09
JJAGMNAF_00006	831.49837023965	-0.409517054588545	0.23270912448272	0.0704386968617796	0.0883029983247567
JJAGMNAF_00007	813.666131107175	-1.56584694727446	0.122566374567345	8.45043409431881e-38	7.60539068488693e-37
JJAGMNAF_00008	1841.81059828752	-1.40230080894015	0.116867911528276	1.58095219881933e-33	1.20317597268816e-32
JJAGMNAF_00009	998.204000759563	-2.24066941572256	0.274948596900249	8.44713031379535e-17	3.22966653047736e-16
JJAGMNAF_00010	6297.72184654242	2.62182826572318	0.421961231163865	4.94286774325152e-11	1.38555977684846e-10
JJAGMNAF_00011	175.457434528996	-2.82764486380186	0.204992088023718	4.81908316049201e-44	5.181322968529e-43
JJAGMNAF_00012	3340.0518426812	0.212222698757122	0.17846351438824	0.227886596622197	0.265412088541446
JJAGMNAF_00013	3137.45883011608	-0.710302583267753	0.132184008200405	5.88511504906119e-08	1.32694641922534e-07
JJAGMNAF_00014	2990.99660998824	-1.10899065433985	0.113043669547069	5.62289715420626e-23	2.80619353303378e-22
JJAGMNAF_00015	287.489488674105	-1.80055706331561	0.188879432276574	5.03939023588925e-22	2.41709675386065e-21
JJAGMNAF_00016	1700.24445693171	3.13619734666414	0.26304117492357	6.60611937735527e-34	5.14987992336893e-33
JJAGMNAF_00017	4635.05437378368	1.18568027813775	0.138058849920161	3.95300233678163e-18	1.6134292340189e-17
JJAGMNAF_00018	5216.35646202168	-0.805956637942858	0.131960355849107	7.17173187389893e-10	1.86058533797346e-09
JJAGMNAF_00019	10184.1598124484	7.51328741037853	0.213573665768459	1.4483344619659e-272	3.31461686867053e-270
JJAGMNAF_00021	44.2319913459099	-0.42742786776796	0.253850533208978	0.081335861548778	0.101321967497
JJAGMNAF_00022	2284.30171687481	0.546405168967175	0.363043021554813	0.105754624564398	0.129376791563319
JJAGMNAF_00023	6090.02178018469	-1.19407057032781	0.112147001574439	9.32296405406292e-27	5.47083824710945e-26
JJAGMNAF_00024	61.8340819908731	0.0561318666977641	0.341010524463983	0.863005677960386	0.881156849007354
JJAGMNAF_00025	150.481133345945	-2.13898161495975	0.1607725045025	5.49370335630961e-41	5.4834347519053e-40
JJAGMNAF_00026	22.1693828760749	-2.57288333287981	0.38694263792605	6.21870369573196e-12	1.83807441338793e-11
JJAGMNAF_00027	243.673591086427	-1.3940805047971	0.233730814939805	1.0636248983502e-09	2.72192825424445e-09
JJAGMNAF_00028	4442.74941467733	-0.527439481853057	0.215503264637712	0.0121200417228532	0.0168837450782703
JJAGMNAF_00029	4231.27121784601	-0.640712637887358	0.133019330329871	1.16098544264183e-06	2.36327659353521e-06
JJAGMNAF_00030	1720.23550362978	-0.910881426030495	0.0956422858691746	1.13262863757769e-21	5.33667963941016e-21
JJAGMNAF_00031	248.094838500497	0.286400465458122	0.155286547271822	0.0623200388456426	0.0786538999273834
JJAGMNAF_00032	99.5258458501609	0.149408424541906	0.296220017942452	0.599334339271577	0.636904551584124
JJAGMNAF_00033	50.0906189939331	1.31599337652138	0.270144979806328	4.10801530620097e-07	8.73396220376106e-07
JJAGMNAF_00034	62.267028516342	0.970386026824342	0.345519923983211	0.00261504613379528	0.00395777412030235
JJAGMNAF_00036	80.2549193253548	2.41812853723854	0.26336736928267	3.83278488013986e-21	1.764402694823e-20
JJAGMNAF_00037	117.064521549962	0.468337512811065	0.307008307651661	0.107856934885647	0.131797719059349
JJAGMNAF_00041	38.0354367975072	0.0657676523532323	0.256382121588775	0.792265809999295	0.817263250237522
JJAGMNAF_00045	38.8756326293553	0.474864726759207	0.325487678849971	0.1218195486573	0.147397973526431
JJAGMNAF_00046	24.4427876528719	-1.68144763077356	0.342701227456804	2.86611276685055e-07	6.16724332101354e-07
JJAGMNAF_00047	184.807510482138	0.0495452716798012	0.18891739322721	0.790847613107338	0.816325951158477
JJAGMNAF_00049	5864.78609984382	-0.559929333406809	0.089455096828304	3.26324674487743e-10	8.66233850090081e-10
JJAGMNAF_00050	3129.94330705271	-0.111564173951391	0.249359703946583	0.641693319207385	0.680025948830808
JJAGMNAF_00051	697.6015054651	-0.246726040662085	0.112805690566245	0.0276251328739949	0.0369257095236878
JJAGMNAF_00052	109.489778301827	0.389650588413216	0.257360024109142	0.116425744669726	0.141405642881654
