baseMean	log2FoldChange	lfcSE	pvalue	padj
JJAGMNAF_00001	916.482146444804	-0.394767243140077	0.104410215763608	0.000143026775980575	0.000241256486276668
JJAGMNAF_00002	268.604972393929	0.769078682566376	0.136154819868678	1.15869132328388e-08	2.62688937366642e-08
JJAGMNAF_00003	1070.41195274257	1.03473317575719	0.103907768089135	1.48101256389268e-23	6.89596475062529e-23
JJAGMNAF_00004	533.720318717408	-0.701383241602115	0.119863704261299	3.57734196931507e-09	8.29250748634661e-09
JJAGMNAF_00005	71.0980317793584	-0.733563051404214	0.240266642152074	0.00168084890364139	0.00257308034221816
JJAGMNAF_00006	469.188422161916	-0.635532060137002	0.12062850059276	1.04943586432785e-07	2.21446655242116e-07
JJAGMNAF_00007	320.094640587796	-1.06479339125555	0.137588783926535	5.7969575334305e-15	1.88225667126642e-14
JJAGMNAF_00008	782.393132910796	-1.06988128494192	0.116000023645166	1.49767607858329e-20	6.18149254757901e-20
JJAGMNAF_00009	587.381522897467	-2.665860324387	0.12688043910339	7.70283652612326e-99	1.72158396358855e-97
JJAGMNAF_00010	4117.44642120529	2.70727012786633	0.118923806068683	1.35129552832539e-115	3.77518188225906e-114
JJAGMNAF_00011	100.60512092794	-1.93158343203854	0.235658261202266	6.00162211015653e-17	2.13762954839838e-16
JJAGMNAF_00012	3527.00931860733	1.09681001440969	0.13236086606858	8.41270007750721e-17	2.98450550368708e-16
JJAGMNAF_00013	2382.15978284562	0.340224866622772	0.123884682547032	0.00569385067713316	0.00824118052675183
JJAGMNAF_00014	2071.71902169389	-0.00115457962410533	0.121035228991627	0.997105697516074	0.997105697516074
JJAGMNAF_00015	146.424214372702	0.269639384623646	0.171429864754162	0.111913582366603	0.138001024325162
JJAGMNAF_00016	765.341903392331	4.3360540641676	0.337492399381208	3.77741916406146e-39	2.79862933646763e-38
JJAGMNAF_00017	2222.78714055724	1.3633638077682	0.120604827653933	4.40550450789795e-30	2.53009916277993e-29
JJAGMNAF_00018	2594.09034403759	0.118705772302514	0.0856159298106868	0.164472674211505	0.195703510308455
JJAGMNAF_00019	2634.76896360436	4.86354524927634	0.102915144202573	0	0
JJAGMNAF_00032	151.067685528796	0.18691303643239	0.167553812216064	0.259414493478175	0.298989974863973
JJAGMNAF_00033	121.636190681233	-0.127953239187301	0.191645677459697	0.494020016380437	0.539479513001763
JJAGMNAF_00034	132.134370614126	-0.736490188229808	0.182678240796866	4.01952344152273e-05	7.06908975092719e-05
JJAGMNAF_00035	82.0161575893071	-0.338539318738667	0.235189865207921	0.136434376614156	0.165050517852579
JJAGMNAF_00036	143.383452483397	-0.539506832469984	0.188085044305939	0.00349850019032075	0.00520120704569859
JJAGMNAF_00037	349.914772598248	-1.38620070354504	0.15054467914546	1.36853389092265e-20	5.6817459681959e-20
JJAGMNAF_00040	287.438454937234	0.621425864529817	0.140630296675823	7.66096460301139e-06	1.42290215133494e-05
JJAGMNAF_00041	121.393470605063	-2.47055706135609	0.236543921674925	2.52812718307277e-26	1.2817461446127e-25
JJAGMNAF_00042	48.6157732712043	-3.90791285473046	0.953700145355643	4.64339516300268e-06	8.77631136516786e-06
JJAGMNAF_00043	44.1887719970562	-2.55747657104358	0.840045279162861	0.000276967180529088	0.000457123678879393
JJAGMNAF_00044	41.2953784148933	-3.12429199881489	0.417299459119533	2.52743164181211e-14	7.86377223125299e-14
JJAGMNAF_00045	47.6644952683301	-2.56045550023437	0.351703838088522	6.80180415181948e-14	2.0659613516625e-13
JJAGMNAF_00046	63.1598297956022	-4.99978996930353	0.546931285153658	4.3274636840578e-20	1.7585238788853e-19
JJAGMNAF_00047	501.985828402567	-0.350159570729144	0.125015227738854	0.0047989157344701	0.00702165411884823
JJAGMNAF_00049	3218.02158254099	-0.331046308070927	0.086139878137117	0.000113831629335189	0.000192859399795942
