baseMean	log2FoldChange	lfcSE	pvalue	padj
BHNFMJIF_00001	70.3257155444521	-1.72107630953928	0.229883495418306	1.85957066504919e-14	4.62720598040122e-14
BHNFMJIF_00002	75.0343766874488	-0.861001790506375	0.32443499814136	0.00517795588071033	0.00681451188445816
BHNFMJIF_00003	67.0382165682996	-1.82141684583048	0.337395155297446	1.83054861171696e-08	3.42851475660204e-08
BHNFMJIF_00004	68.1207557228387	-1.21936170056102	0.277783614343909	5.36410489734167e-06	8.65279646850132e-06
BHNFMJIF_00005	69.904974003338	-0.978302913010889	0.180285784788159	3.40198251651312e-08	6.28263214179325e-08
BHNFMJIF_00006	70.6575897216441	-1.07341122183395	0.364278458679039	0.00165615570090689	0.00227196764619632
BHNFMJIF_00007	324.923998549377	-0.364792609169801	0.253836326028525	0.137379985692791	0.157400663691046
BHNFMJIF_00008	99.8259806423202	-0.313930616351153	0.309951246265691	0.286154169317167	0.315802495683585
BHNFMJIF_00009	280.198340564121	-0.521192617212535	0.253927045084951	0.0338808370587457	0.0414043389962911
BHNFMJIF_00010	134.036399396946	-0.563383390081149	0.144284256381631	8.11055389300476e-05	0.000121511111409717
BHNFMJIF_00012	235.016010407623	-0.336132268631549	0.148738356833427	0.0223519740197092	0.027798952245981
BHNFMJIF_00013	539.530447665118	-0.428914004335442	0.118901414462689	0.000279918538902912	0.000404149984896115
BHNFMJIF_00014	49.2542070404062	-0.268872671269797	0.183068391913844	0.136826190434136	0.156820576471197
BHNFMJIF_00015	61.6552216876596	-3.40034970692044	0.248013526170083	2.05687304627543e-43	1.31115729706592e-42
BHNFMJIF_00017	35.717196652954	-3.87933925631342	0.381158974006672	7.17804586519534e-25	2.70261202358894e-24
BHNFMJIF_00018	26.5553988740034	-2.86896714422534	0.441010149496236	1.0712132898826e-11	2.36282316846515e-11
BHNFMJIF_00019	56.498730026484	-2.80092093133949	0.241028024564461	4.87014875473388e-32	2.25227327564864e-31
BHNFMJIF_00020	35.9135619194223	-2.85905593398142	0.353140264899035	8.7459510315849e-17	2.43090322443547e-16
BHNFMJIF_00022	68.0288101862299	-0.357470451271635	0.267795854598252	0.163849086347662	0.18624085477452
BHNFMJIF_00024	53.8196724673756	-0.850496518318691	0.218182408775627	6.40303580716047e-05	9.66308237442591e-05
BHNFMJIF_00026	41.019257297118	-2.55386367105298	0.310529989247932	3.16933693582325e-17	8.97525777194542e-17
BHNFMJIF_00027	26.7917642075954	-2.83127000572994	0.354720116650563	2.87600996511871e-16	7.80969153357072e-16
BHNFMJIF_00028	34.4419177789456	-1.77578567793025	0.271586213691014	1.85240284508288e-11	4.03738230657669e-11
BHNFMJIF_00035	48.6121900967461	0.58152123463517	0.196417749625571	0.00246956344210601	0.00333517320484011
BHNFMJIF_00039	296.946499247361	0.145535474853011	0.202431867495309	0.464435587314471	0.498234668392588
BHNFMJIF_00040	192.606028448398	-0.333712514972876	0.149188704861888	0.0234304877187194	0.0290527489475071
BHNFMJIF_00055	170.17878482353	-0.248095649476192	0.185799688165526	0.174644750958355	0.197898753488157
BHNFMJIF_00056	446.39913582493	1.08259540010713	0.194279995409594	1.2400281487653e-08	2.33575182385797e-08
BHNFMJIF_00057	520.556374305494	-0.579130686867319	0.200581001073716	0.00323715739733174	0.00433458788564048
BHNFMJIF_00058	37.2922071253273	-2.43489368542762	0.257735327047985	9.55936084723401e-22	3.20782617048442e-21
BHNFMJIF_00059	67.8705808265373	-2.77519895254123	0.20562770579033	3.91457881613417e-42	2.40706503740689e-41
BHNFMJIF_00060	59.0972648539142	-2.11179849537131	0.215630536692115	2.52869105697586e-23	9.02674364338843e-23
BHNFMJIF_00061	64.904013859359	-1.9520671941954	0.237189361020494	3.90472699682416e-17	1.10294341689593e-16
BHNFMJIF_00062	191.276918145888	-1.79101229242579	0.185229352341193	9.53621058558085e-23	3.33212352948021e-22
BHNFMJIF_00063	1046.57335226381	-2.17798579051668	0.085038575976226	2.03808227829228e-145	5.65525015371521e-144
BHNFMJIF_00064	39.6496002626661	-0.452696344517384	0.315428137229752	0.130810417196968	0.150134166695998
BHNFMJIF_00069	167.329784043147	-1.41396362525481	0.136449396701998	1.40591851110941e-25	5.37308208759637e-25
BHNFMJIF_00072	21.8106488452348	-2.32974293304054	0.400298939000069	1.29667202749962e-09	2.56845293029618e-09
BHNFMJIF_00073	26.9147814181111	-1.57191118655228	0.380885072842787	1.24079028865224e-05	1.96126832605538e-05
BHNFMJIF_00083	25.4155562107401	-2.26598538506967	0.313290559005865	1.2801971120923e-13	3.07881344801805e-13
BHNFMJIF_00084	29.5208017284853	-1.98095267666752	0.29720419173535	7.25665642884354e-12	1.61248179865689e-11
BHNFMJIF_00092	212.061548264362	0.945577878853678	0.17122786941168	2.04165297109292e-08	3.81956833458857e-08
BHNFMJIF_00093	230.912081343394	-0.667738437299481	0.186727621074476	0.000272337784480348	0.000393548955953658
BHNFMJIF_00094	594.127275319049	-1.30959539791415	0.138837343813062	1.87439693855529e-21	6.20166201513984e-21
BHNFMJIF_00095	355.656022842553	-2.42301659411753	0.103914463604628	7.99470441878772e-121	1.73674434150244e-119
BHNFMJIF_00096	628.703281552695	-4.3649603155322	0.280165030044021	2.53212813112272e-55	2.1221033220729e-54
