featureID	uniq_len	num_alignments	counts	tpm
JJAGMNAF_00001	1407	2106.0	2096.69	399.15
JJAGMNAF_00002	741	381.5	364.52	131.76
JJAGMNAF_00003	2547	1387.5	1377.77	144.89
JJAGMNAF_00004	3006	1322.5	1313.61	117.05
JJAGMNAF_00005	369	248.5	181.27	131.58
JJAGMNAF_00006	882	1169.5	1054.85	320.34
JJAGMNAF_00007	1026	1010.0	867.67	226.52
JJAGMNAF_00008	1317	2193.5	2126.30	432.45
JJAGMNAF_00009	1674	1974.0	1968.06	314.90
JJAGMNAF_00010	201	2324.5	1918.89	2557.10
JJAGMNAF_00011	693	350.5	310.23	119.91
JJAGMNAF_00012	444	5144.0	4562.72	2752.55
JJAGMNAF_00013	270	5681.0	4023.42	3991.40
JJAGMNAF_00014	345	4297.0	3653.24	2836.30
JJAGMNAF_00015	447	288.5	260.46	156.07
JJAGMNAF_00016	183	109.0	91.78	134.34
JJAGMNAF_00017	699	2505.0	2329.62	892.69
JJAGMNAF_00018	1599	4924.0	4841.11	810.94
JJAGMNAF_00019	2160	338.0	336.56	41.73
JJAGMNAF_00020	147	2.5	1.22	2.23
JJAGMNAF_00021	1131	27.0	27.00	6.39
JJAGMNAF_00022	192	0.0	0.00	0.00
JJAGMNAF_00023	1242	0.0	0.00	0.00
JJAGMNAF_00024	906	0.0	0.00	0.00
JJAGMNAF_00025	1467	0.0	0.00	0.00
JJAGMNAF_00026	987	0.0	0.00	0.00
JJAGMNAF_00027	627	0.0	0.00	0.00
JJAGMNAF_00028	408	0.0	0.00	0.00
JJAGMNAF_00029	891	0.0	0.00	0.00
JJAGMNAF_00030	2676	0.0	0.00	0.00
JJAGMNAF_00031	1032	0.0	0.00	0.00
JJAGMNAF_00032	1938	283.0	279.49	38.63
JJAGMNAF_00033	2042	216.5	208.29	27.32
JJAGMNAF_00034	2591	320.0	316.04	32.67
JJAGMNAF_00035	1584	165.0	161.18	27.26
JJAGMNAF_00036	2508	292.5	287.01	30.65
JJAGMNAF_00037	4053	821.5	820.07	54.20
JJAGMNAF_00038	1614	36.0	36.00	5.97
JJAGMNAF_00039	510	23.5	22.67	11.91
JJAGMNAF_00040	1935	392.0	391.22	54.15
JJAGMNAF_00041	3072	336.0	332.25	28.97
JJAGMNAF_00042	1899	155.0	154.51	21.79
JJAGMNAF_00043	972	168.0	159.47	43.94
JJAGMNAF_00044	1122	146.0	142.87	34.11
JJAGMNAF_00045	966	155.5	145.15	40.25
JJAGMNAF_00046	1539	193.5	191.57	33.34
JJAGMNAF_00047	792	1207.0	1194.22	403.88
JJAGMNAF_00048	906	0.0	0.00	0.00
JJAGMNAF_00049	1385	7022.5	6870.70	1328.76
JJAGMNAF_00050	632	1680.5	1581.63	670.32
JJAGMNAF_00051	1041	1105.0	1067.51	274.67
JJAGMNAF_00052	1920	454.0	443.18	61.83
JJAGMNAF_00053	654	1585.0	1473.16	603.35
JJAGMNAF_00054	1296	1637.5	1481.33	306.15
JJAGMNAF_00055	543	1127.5	1045.50	515.73
JJAGMNAF_00056	783	1484.5	1466.43	501.64
JJAGMNAF_00057	975	1048.5	1006.67	276.55
JJAGMNAF_00058	1803	1319.5	1207.50	179.38
JJAGMNAF_00059	576	515.5	457.60	212.80
JJAGMNAF_00060	1164	1568.5	1493.15	343.59
JJAGMNAF_00061	3173	1698.0	1663.33	140.41
JJAGMNAF_00062	1470	725.0	679.50	123.81
JJAGMNAF_00063	3067	1708.0	1675.20	146.30
JJAGMNAF_00064	1068	1114.0	1105.63	277.29
JJAGMNAF_00065	1650	164.0	160.26	26.02
JJAGMNAF_00066	1512	92.0	89.85	15.92
JJAGMNAF_00067	903	37.5	32.08	9.52
JJAGMNAF_00068	1905	118.5	116.44	16.37
JJAGMNAF_00069	1095	64.0	63.72	15.59
JJAGMNAF_00070	249	11.0	10.21	10.98
JJAGMNAF_00071	867	222.5	207.22	64.02
JJAGMNAF_00072	222	21.0	15.07	18.18
JJAGMNAF_00073	999	223.5	208.53	55.91
JJAGMNAF_00074	1080	259.0	244.61	60.66
JJAGMNAF_00075	771	1071.5	1037.80	360.54
JJAGMNAF_00076	867	542.5	488.39	150.88
JJAGMNAF_00077	783	343.5	315.70	108.00
JJAGMNAF_00078	1569	1640.5	1582.17	270.10
JJAGMNAF_00079	858	641.5	598.35	186.79
JJAGMNAF_00080	543	627.0	544.22	268.45
JJAGMNAF_00081	660	866.0	798.15	323.92
JJAGMNAF_00082	3705	10444.5	10440.14	754.77
JJAGMNAF_00083	4017	939.0	932.46	62.18
JJAGMNAF_00084	545	116.5	109.99	54.06
JJAGMNAF_00085	569	113.0	96.23	45.30
JJAGMNAF_00086	1500	1319.5	1314.29	234.69
JJAGMNAF_00087	2802	3383.0	3368.56	322.01
JJAGMNAF_00088	1032	344.5	337.14	87.50
JJAGMNAF_00089	2307	811.0	786.45	91.31
JJAGMNAF_00090	492	317.5	289.35	157.53
