featureID	uniq_len	num_alignments	counts	tpm
JJAGMNAF_00001	1407	1445.0	1437.15	644.13
JJAGMNAF_00002	741	194.5	184.28	156.83
JJAGMNAF_00003	2547	465.0	459.77	113.83
JJAGMNAF_00004	3006	819.5	815.14	171.00
JJAGMNAF_00005	369	186.0	136.33	232.98
JJAGMNAF_00006	882	577.5	515.65	368.68
JJAGMNAF_00007	1026	786.5	740.44	455.10
JJAGMNAF_00008	1317	1722.0	1693.63	810.96
JJAGMNAF_00009	1674	1127.0	1125.30	423.91
JJAGMNAF_00010	201	1220.5	1007.55	3161.07
JJAGMNAF_00011	693	211.5	189.06	172.04
JJAGMNAF_00012	444	2398.5	2094.14	2974.31
JJAGMNAF_00013	270	3320.0	2501.76	5843.14
JJAGMNAF_00014	345	2730.5	2404.13	4394.44
JJAGMNAF_00015	447	343.5	331.28	467.36
JJAGMNAF_00016	183	200.5	190.69	657.12
JJAGMNAF_00017	699	1694.5	1622.87	1464.10
JJAGMNAF_00018	1599	3977.5	3937.11	1552.72
JJAGMNAF_00019	2160	53.5	53.19	15.53
JJAGMNAF_00020	147	0.5	0.50	2.14
JJAGMNAF_00021	1131	37.0	36.42	20.31
JJAGMNAF_00022	192	1289.5	1164.31	3824.12
JJAGMNAF_00023	1242	5000.5	4782.61	2428.33
JJAGMNAF_00024	906	82.5	53.78	37.43
JJAGMNAF_00025	1467	162.0	161.43	69.39
JJAGMNAF_00026	987	22.5	21.14	13.50
JJAGMNAF_00027	627	231.5	225.74	227.05
JJAGMNAF_00028	408	4015.0	3438.56	5314.72
JJAGMNAF_00029	891	4462.0	3497.24	2475.21
JJAGMNAF_00030	2676	1362.0	1312.28	309.25
JJAGMNAF_00031	1032	128.5	115.94	70.85
JJAGMNAF_00032	1938	49.0	42.07	13.69
JJAGMNAF_00033	2042	19.0	18.25	5.64
JJAGMNAF_00034	2591	22.0	21.80	5.31
JJAGMNAF_00035	1584	11.0	11.00	4.38
JJAGMNAF_00036	2508	17.0	16.74	4.21
JJAGMNAF_00037	4053	61.0	59.28	9.22
JJAGMNAF_00038	1614	10.5	10.50	4.10
JJAGMNAF_00039	510	0.0	0.00	0.00
JJAGMNAF_00040	1935	12.5	12.42	4.05
JJAGMNAF_00041	3072	22.0	21.52	4.42
JJAGMNAF_00042	1899	10.5	10.18	3.38
JJAGMNAF_00043	972	13.0	10.63	6.90
JJAGMNAF_00044	1122	15.0	14.41	8.10
JJAGMNAF_00045	966	17.0	15.18	9.91
JJAGMNAF_00046	1539	20.5	20.21	8.28
JJAGMNAF_00047	792	105.5	103.27	82.23
JJAGMNAF_00048	906	31.0	20.51	14.28
JJAGMNAF_00049	1385	4186.0	4048.96	1843.56
JJAGMNAF_00050	632	1999.0	1889.78	1885.64
JJAGMNAF_00051	1041	459.0	452.89	274.35
JJAGMNAF_00052	1920	54.5	52.01	17.08
JJAGMNAF_00053	654	272.5	252.52	243.49
JJAGMNAF_00054	1296	165.0	156.07	75.94
JJAGMNAF_00055	543	133.5	128.93	149.73
JJAGMNAF_00056	783	168.5	166.71	134.26
JJAGMNAF_00057	975	168.0	162.23	104.93
JJAGMNAF_00058	1803	311.0	293.25	102.57
JJAGMNAF_00059	576	171.0	159.09	174.18
JJAGMNAF_00060	1164	313.5	306.52	166.06
JJAGMNAF_00061	3173	115.0	113.24	22.51
JJAGMNAF_00062	1470	79.0	75.91	32.57
JJAGMNAF_00063	3067	203.0	200.89	41.30
JJAGMNAF_00064	1068	111.5	108.10	63.83
JJAGMNAF_00065	1650	35.5	35.17	13.44
JJAGMNAF_00066	1512	17.0	16.45	6.86
JJAGMNAF_00067	903	8.0	7.54	5.27
JJAGMNAF_00068	1905	14.5	14.38	4.76
JJAGMNAF_00069	1095	12.5	12.50	7.20
JJAGMNAF_00070	249	4.0	2.65	6.71
JJAGMNAF_00071	867	51.5	42.73	31.08
JJAGMNAF_00072	222	7.0	6.85	19.47
JJAGMNAF_00073	999	54.5	53.79	33.96
JJAGMNAF_00074	1080	49.0	46.10	26.92
JJAGMNAF_00075	771	286.5	277.62	227.07
JJAGMNAF_00076	867	146.0	129.65	94.30
JJAGMNAF_00077	783	181.5	161.10	129.75
JJAGMNAF_00078	1569	743.5	714.62	287.22
JJAGMNAF_00079	858	348.5	329.50	242.17
JJAGMNAF_00080	543	201.5	189.35	219.90
JJAGMNAF_00081	660	763.5	753.81	720.25
JJAGMNAF_00082	3705	3167.0	3163.04	538.37
JJAGMNAF_00083	4017	290.5	288.98	45.37
JJAGMNAF_00084	545	31.5	30.40	35.18
JJAGMNAF_00085	569	39.5	28.39	31.47
JJAGMNAF_00086	1500	617.5	615.84	258.90
JJAGMNAF_00087	2802	1234.0	1228.77	276.55
JJAGMNAF_00088	1032	98.0	95.49	58.35
JJAGMNAF_00089	2307	372.5	360.17	98.45
JJAGMNAF_00090	492	173.0	160.20	205.34
JJAGMNAF_00091	208	57.5	40.62	123.16
JJAGMNAF_00092	1417	615.5	612.24	272.47
JJAGMNAF_00093	1680	289.5	274.33	102.97
JJAGMNAF_00094	183	107.5	68.93	237.54
JJAGMNAF_00095	966	105.5	102.62	66.99
JJAGMNAF_00096	594	36.0	35.53	37.72
JJAGMNAF_00097	1170	605.5	598.25	322.45
JJAGMNAF_00098	1116	273.0	247.56	139.89
JJAGMNAF_00099	819	309.0	250.95	193.23
JJAGMNAF_00100	1236	295.5	260.93	133.13
JJAGMNAF_00101	1041	888.0	855.67	518.35
JJAGMNAF_00102	1386	728.5	703.91	320.27
JJAGMNAF_00103	768	423.0	409.86	336.54
JJAGMNAF_00104	564	368.5	365.93	409.14
JJAGMNAF_00105	903	124.5	122.21	85.35
JJAGMNAF_00106	2040	169.5	167.35	51.73
JJAGMNAF_00107	111	2.0	0.99	5.60
JJAGMNAF_00108	774	15.0	14.27	11.63
JJAGMNAF_00109	1779	186.0	184.94	65.56
