featureID	uniq_len	num_alignments	counts	tpm
BHNFMJIF_00001	714	13.5	12.23	13.85
BHNFMJIF_00002	681	12.5	10.78	12.79
BHNFMJIF_00003	398	8.0	7.12	14.45
BHNFMJIF_00004	448	23.0	13.00	23.45
BHNFMJIF_00005	314	19.5	12.13	31.24
BHNFMJIF_00006	318	13.0	9.29	23.61
BHNFMJIF_00007	1305	73.5	71.17	44.09
BHNFMJIF_00008	399	33.0	22.40	45.39
BHNFMJIF_00009	699	71.5	64.69	74.81
BHNFMJIF_00010	1035	33.5	31.65	24.72
BHNFMJIF_00011	192	1.5	0.72	3.02
BHNFMJIF_00012	784	100.0	85.87	88.55
BHNFMJIF_00013	1120	172.5	169.64	122.45
BHNFMJIF_00014	338	18.5	16.20	38.75
BHNFMJIF_00015	2663	2.0	2.00	0.61
BHNFMJIF_00016	360	3.0	2.73	6.14
BHNFMJIF_00017	459	2.5	2.50	4.40
BHNFMJIF_00018	573	2.0	1.55	2.19
BHNFMJIF_00019	1407	5.5	5.44	3.13
BHNFMJIF_00020	708	2.0	2.00	2.28
BHNFMJIF_00021	315	1.0	0.78	1.99
BHNFMJIF_00022	1511	13.5	13.11	7.02
BHNFMJIF_00023	347	1.0	1.00	2.33
BHNFMJIF_00024	1014	12.0	9.82	7.83
BHNFMJIF_00025	189	3.0	2.43	10.39
BHNFMJIF_00026	1087	3.0	2.98	2.22
BHNFMJIF_00027	677	1.5	1.50	1.79
BHNFMJIF_00028	1005	6.5	6.50	5.23
BHNFMJIF_00029	589	1.0	0.57	0.78
BHNFMJIF_00030	485	2.0	1.39	2.32
BHNFMJIF_00032	120	18.0	12.04	81.14
BHNFMJIF_00033	182	3.5	2.05	9.09
BHNFMJIF_00034	171	2.5	1.47	6.96
BHNFMJIF_00035	640	18.5	17.17	21.69
BHNFMJIF_00036	285	23.5	13.96	39.59
BHNFMJIF_00037	174	11.5	8.86	41.18
BHNFMJIF_00038	105	4.0	0.57	4.40
BHNFMJIF_00039	308	133.0	110.32	289.57
BHNFMJIF_00040	362	79.5	57.19	127.72
BHNFMJIF_00041	288	3.5	2.31	6.47
BHNFMJIF_00042	276	5.0	2.98	8.74
BHNFMJIF_00043	190	5.0	2.52	10.74
BHNFMJIF_00044	166	2.5	1.65	8.04
BHNFMJIF_00045	411	16.0	9.07	17.85
BHNFMJIF_00046	467	15.0	12.82	22.19
BHNFMJIF_00047	248	6.0	4.55	14.84
BHNFMJIF_00048	240	3.5	2.64	8.91
BHNFMJIF_00049	280	5.0	4.03	11.65
BHNFMJIF_00050	343	9.5	7.96	18.76
BHNFMJIF_00051	198	2.5	1.87	7.64
BHNFMJIF_00052	210	8.5	5.09	19.61
BHNFMJIF_00053	237	14.5	7.89	26.91
BHNFMJIF_00054	99	4.5	1.19	9.69
BHNFMJIF_00055	786	73.5	69.00	70.97
BHNFMJIF_00056	345	295.0	246.74	578.17
BHNFMJIF_00057	318	270.0	194.44	494.31
BHNFMJIF_00058	318	6.5	5.98	15.20
BHNFMJIF_00059	594	8.0	6.58	8.95
BHNFMJIF_00060	342	15.0	10.59	25.04
BHNFMJIF_00061	210	15.0	9.23	35.54
BHNFMJIF_00062	924	38.0	29.91	26.17
BHNFMJIF_00063	2112	165.0	160.36	61.38
BHNFMJIF_00064	393	9.0	8.07	16.60
BHNFMJIF_00065	216	0.5	0.50	1.87
BHNFMJIF_00066	180	0.0	0.00	0.00
BHNFMJIF_00067	359	0.5	0.45	1.02
BHNFMJIF_00068	188	0.5	0.50	2.15
BHNFMJIF_00069	2517	38.5	35.68	11.46
BHNFMJIF_00070	402	2.5	1.70	3.42
BHNFMJIF_00071	556	1.5	1.32	1.92
BHNFMJIF_00072	988	2.0	1.33	1.09
BHNFMJIF_00073	1157	2.5	2.22	1.55
BHNFMJIF_00074	626	0.5	0.50	0.65
BHNFMJIF_00075	464	3.0	2.26	3.93
BHNFMJIF_00076	179	1.5	0.87	3.95
BHNFMJIF_00077	734	11.5	10.10	11.12
BHNFMJIF_00078	428	2.0	1.21	2.29
BHNFMJIF_00079	186	0.5	0.50	2.17
BHNFMJIF_00080	427	2.0	2.00	3.79
BHNFMJIF_00081	628	3.5	3.50	4.51
BHNFMJIF_00082	446	5.5	4.89	8.86
BHNFMJIF_00083	813	7.5	5.75	5.71
BHNFMJIF_00084	913	7.0	5.91	5.23
BHNFMJIF_00085	258	1.5	1.48	4.63
BHNFMJIF_00086	228	1.5	1.21	4.29
BHNFMJIF_00088	186	3.5	1.70	7.40
BHNFMJIF_00089	183	3.5	2.30	10.15
BHNFMJIF_00090	246	8.5	6.13	20.14
BHNFMJIF_00091	327	2.5	2.04	5.04
BHNFMJIF_00092	543	116.5	102.34	152.37
BHNFMJIF_00093	780	69.5	62.18	64.45
BHNFMJIF_00094	1260	147.5	137.09	87.96
BHNFMJIF_00095	309	61.5	48.11	125.88
BHNFMJIF_00096	210	67.5	41.54	159.91
BHNFMJIF_00097	315	584.0	572.54	1469.40
BHNFMJIF_00098	171	0.5	0.06	0.29
BHNFMJIF_00099	291	17.0	11.54	32.07
BHNFMJIF_00100	1665	201.0	196.40	95.36
BHNFMJIF_00101	1089	87.0	83.31	61.85
BHNFMJIF_00102	698	16.0	14.21	16.46
BHNFMJIF_00103	545	97.5	96.56	143.24
BHNFMJIF_00104	2220	621.5	620.81	226.07
BHNFMJIF_00105	849	117.0	109.70	104.46
BHNFMJIF_00106	630	56.5	47.61	61.09
BHNFMJIF_00107	639	67.5	65.15	82.42
BHNFMJIF_00108	2850	231.5	224.73	63.75
BHNFMJIF_00109	2715	279.0	257.27	76.61
BHNFMJIF_00110	237	15.0	10.25	34.95
BHNFMJIF_00111	228	13.0	11.77	41.74
BHNFMJIF_00112	1668	1128.5	1018.60	493.69
BHNFMJIF_00113	1176	270.0	161.30	110.88
BHNFMJIF_00114	1224	22.5	22.46	14.83
BHNFMJIF_00115	565	4.0	3.57	5.11
BHNFMJIF_00116	3637	28.0	27.59	6.13
BHNFMJIF_00117	2058	57.5	57.44	22.56
BHNFMJIF_00118	879	1.5	0.55	0.51
BHNFMJIF_00119	1359	2.5	2.04	1.21
BHNFMJIF_00120	789	0.0	0.00	0.00
BHNFMJIF_00121	1089	2.5	1.79	1.33
BHNFMJIF_00122	1152	23.0	21.32	14.96
BHNFMJIF_00123	1285	81.5	76.45	48.09
BHNFMJIF_00124	1594	107.0	104.62	53.06
BHNFMJIF_00125	735	96.0	73.73	81.10
BHNFMJIF_00126	870	3265.0	3129.13	2907.69
BHNFMJIF_00127	1593	2362.0	2193.29	1113.07
BHNFMJIF_00128	558	1182.0	1034.39	1498.62
BHNFMJIF_00129	501	1066.0	809.91	1306.91
BHNFMJIF_00130	255	300.5	234.23	742.59
BHNFMJIF_00131	1092	1115.5	1037.32	767.96
BHNFMJIF_00132	414	583.0	400.05	781.18
BHNFMJIF_00133	255	630.0	547.07	1734.40
BHNFMJIF_00134	1536	2628.5	2542.46	1338.16
BHNFMJIF_00135	1551	314.5	307.19	160.12
BHNFMJIF_00136	1124	157.5	143.38	103.13
BHNFMJIF_00137	800	90.0	80.04	80.89
BHNFMJIF_00138	438	463.0	456.22	842.06
BHNFMJIF_00139	1287	94.0	90.80	57.03
BHNFMJIF_00140	678	79.5	76.35	91.04
BHNFMJIF_00141	738	76.5	71.58	78.41
BHNFMJIF_00142	1548	199.0	183.96	96.07
BHNFMJIF_00143	591	31.5	30.43	41.63
BHNFMJIF_00144	1659	1990.0	1943.89	947.26
BHNFMJIF_00145	732	1309.5	1220.94	1348.43
BHNFMJIF_00146	2460	58.0	56.25	18.49
BHNFMJIF_00147	396	0.5	0.42	0.86
BHNFMJIF_00148	1773	28.5	28.33	12.92
BHNFMJIF_00151	583	103.0	92.92	128.85
BHNFMJIF_00152	525	182.5	121.71	187.42
BHNFMJIF_00153	467	310.5	274.69	475.52
BHNFMJIF_00154	618	205.5	190.86	249.67
BHNFMJIF_00155	1447	123.0	120.00	67.04
BHNFMJIF_00156	568	103.0	98.95	140.84
BHNFMJIF_00157	2304	167.0	157.78	55.36
BHNFMJIF_00158	398	254.0	222.84	452.64
BHNFMJIF_00159	305	696.0	631.73	1674.45
BHNFMJIF_00160	1653	586.0	575.86	281.64
BHNFMJIF_00161	162	14.5	7.25	36.18
BHNFMJIF_00162	150	20.0	12.33	66.47
BHNFMJIF_00163	123	7.5	3.82	25.09
BHNFMJIF_00164	657	29.5	25.87	31.83
BHNFMJIF_00165	1806	197.0	192.77	86.29
BHNFMJIF_00166	195	12.0	5.16	21.39
