featureID	uniq_len	num_alignments	counts	tpm
BHNFMJIF_00001	714	18.0	15.37	22.40
BHNFMJIF_00002	681	36.5	27.01	41.27
BHNFMJIF_00003	398	23.0	20.56	53.74
BHNFMJIF_00004	448	35.0	24.03	55.81
BHNFMJIF_00005	314	28.0	17.07	56.55
BHNFMJIF_00006	318	28.5	18.80	61.51
BHNFMJIF_00007	1305	144.5	137.87	109.92
BHNFMJIF_00008	399	54.0	36.56	95.32
BHNFMJIF_00009	699	104.5	95.14	141.61
BHNFMJIF_00010	1035	43.0	40.33	40.54
BHNFMJIF_00011	192	1.0	0.77	4.16
BHNFMJIF_00012	784	92.0	73.47	97.51
BHNFMJIF_00013	1120	149.5	146.49	136.08
BHNFMJIF_00014	338	18.5	17.12	52.71
BHNFMJIF_00015	2663	7.5	6.70	2.62
BHNFMJIF_00016	360	3.5	2.44	7.04
BHNFMJIF_00017	459	1.5	1.50	3.40
BHNFMJIF_00018	573	3.0	3.00	5.45
BHNFMJIF_00019	1407	7.0	7.00	5.18
BHNFMJIF_00020	708	7.5	7.21	10.60
BHNFMJIF_00021	315	4.0	2.87	9.48
BHNFMJIF_00022	1511	25.5	23.92	16.47
BHNFMJIF_00023	347	13.0	10.72	32.14
BHNFMJIF_00024	1014	18.0	16.72	17.16
BHNFMJIF_00025	189	3.0	2.23	12.28
BHNFMJIF_00026	1087	4.0	3.99	3.82
BHNFMJIF_00027	677	4.5	3.58	5.51
BHNFMJIF_00028	1005	10.5	10.03	10.39
BHNFMJIF_00029	589	3.0	1.28	2.25
BHNFMJIF_00030	485	8.0	5.62	12.05
BHNFMJIF_00032	120	14.0	10.06	87.25
BHNFMJIF_00033	182	4.5	2.38	13.58
BHNFMJIF_00034	171	4.5	2.51	15.26
BHNFMJIF_00035	640	21.5	20.64	33.55
BHNFMJIF_00036	285	13.0	8.76	31.99
BHNFMJIF_00037	174	10.5	8.26	49.41
BHNFMJIF_00038	105	3.0	0.48	4.71
BHNFMJIF_00039	308	125.5	94.68	319.83
BHNFMJIF_00040	362	86.5	54.68	157.17
BHNFMJIF_00041	288	7.0	3.95	14.27
BHNFMJIF_00042	276	3.5	1.92	7.23
BHNFMJIF_00043	190	7.5	4.72	25.87
BHNFMJIF_00044	166	3.5	2.19	13.75
BHNFMJIF_00045	411	5.5	3.64	9.21
BHNFMJIF_00046	467	11.5	10.85	24.18
BHNFMJIF_00047	248	8.0	4.70	19.72
BHNFMJIF_00048	240	4.0	2.67	11.56
BHNFMJIF_00049	280	5.5	3.79	14.07
BHNFMJIF_00050	343	11.0	8.64	26.21
BHNFMJIF_00051	198	2.5	1.44	7.57
BHNFMJIF_00052	210	4.0	1.82	9.03
BHNFMJIF_00053	237	6.5	4.68	20.55
BHNFMJIF_00054	99	2.5	0.45	4.72
BHNFMJIF_00055	786	51.5	47.27	62.57
BHNFMJIF_00056	345	168.0	137.88	415.82
BHNFMJIF_00057	318	161.5	109.65	358.76
BHNFMJIF_00058	318	4.5	4.01	13.13
BHNFMJIF_00059	594	11.0	8.36	14.65
BHNFMJIF_00060	342	12.0	7.95	24.17
BHNFMJIF_00061	210	18.5	13.44	66.57
BHNFMJIF_00062	924	41.0	33.75	38.00
BHNFMJIF_00063	2112	157.5	153.90	75.82
BHNFMJIF_00064	393	16.5	15.79	41.79
BHNFMJIF_00065	216	3.0	1.91	9.20
BHNFMJIF_00066	180	2.5	0.88	5.09
BHNFMJIF_00067	359	2.0	2.00	5.80
BHNFMJIF_00068	188	0.5	0.10	0.54
BHNFMJIF_00069	2517	38.0	36.59	15.13
BHNFMJIF_00070	402	1.0	0.57	1.48
BHNFMJIF_00071	556	2.0	1.66	3.11
BHNFMJIF_00072	988	2.0	1.73	1.82
BHNFMJIF_00073	1157	2.5	2.18	1.96
BHNFMJIF_00074	626	1.0	0.75	1.25
BHNFMJIF_00075	464	2.0	2.00	4.48
BHNFMJIF_00076	179	1.0	1.00	5.81
BHNFMJIF_00077	734	12.0	11.11	15.75
BHNFMJIF_00078	428	4.0	2.34	5.69
BHNFMJIF_00079	186	0.5	0.08	0.47
BHNFMJIF_00080	427	1.5	0.87	2.13
BHNFMJIF_00081	628	2.5	2.08	3.45
BHNFMJIF_00082	446	2.5	2.36	5.50
BHNFMJIF_00083	813	2.5	2.50	3.20
BHNFMJIF_00084	913	4.0	3.86	4.40
BHNFMJIF_00085	258	2.0	1.67	6.73
BHNFMJIF_00086	228	1.5	0.63	2.87
BHNFMJIF_00088	186	1.0	0.44	2.43
BHNFMJIF_00089	183	2.0	1.50	8.54
BHNFMJIF_00090	246	5.0	3.05	12.92
BHNFMJIF_00091	327	1.5	1.21	3.83
BHNFMJIF_00092	543	80.0	72.05	138.05
BHNFMJIF_00093	780	76.0	67.00	89.37
BHNFMJIF_00094	1260	128.0	115.06	95.01
BHNFMJIF_00095	309	64.5	48.50	163.30
BHNFMJIF_00096	210	27.0	18.40	91.18
BHNFMJIF_00097	315	228.0	221.98	733.18
BHNFMJIF_00098	171	0.5	0.02	0.10
BHNFMJIF_00099	291	12.5	9.45	33.79
BHNFMJIF_00100	1665	267.0	261.58	163.46
BHNFMJIF_00101	1089	123.0	119.85	114.51
BHNFMJIF_00102	698	22.5	20.71	30.87
BHNFMJIF_00103	545	79.0	76.55	146.14
BHNFMJIF_00104	2220	417.5	416.73	195.31
BHNFMJIF_00105	849	107.0	102.64	125.79
BHNFMJIF_00106	630	83.5	76.08	125.65
BHNFMJIF_00107	639	93.5	89.40	145.56
BHNFMJIF_00108	2850	371.0	363.59	132.73
BHNFMJIF_00109	2715	333.0	307.29	117.76
BHNFMJIF_00110	237	17.0	11.58	50.86
BHNFMJIF_00111	228	18.5	15.65	71.43
BHNFMJIF_00112	1668	775.5	705.11	439.82
BHNFMJIF_00113	1176	280.5	206.56	182.75
BHNFMJIF_00114	1224	25.5	25.25	21.46
BHNFMJIF_00115	565	3.0	2.73	5.03
BHNFMJIF_00116	3637	42.5	42.43	12.14
BHNFMJIF_00117	2058	70.0	69.20	34.98
BHNFMJIF_00118	879	6.0	5.97	7.07
BHNFMJIF_00119	1359	3.5	3.50	2.68
BHNFMJIF_00120	789	1.5	1.46	1.92
BHNFMJIF_00121	1089	5.0	4.52	4.32
BHNFMJIF_00122	1152	21.0	20.17	18.22
BHNFMJIF_00123	1285	126.5	123.05	99.63
BHNFMJIF_00124	1594	136.5	132.83	86.70
BHNFMJIF_00125	735	93.0	68.47	96.92
BHNFMJIF_00126	870	2675.5	2500.33	2990.14
BHNFMJIF_00127	1593	2705.5	2518.98	1645.22
BHNFMJIF_00128	558	745.5	611.75	1140.65
BHNFMJIF_00129	501	708.0	542.71	1127.04
BHNFMJIF_00130	255	207.0	152.46	622.06
BHNFMJIF_00131	1092	764.5	712.69	679.03
BHNFMJIF_00132	414	407.0	282.74	710.56
BHNFMJIF_00133	255	400.5	326.48	1332.07
BHNFMJIF_00134	1536	2107.0	2033.34	1377.31
BHNFMJIF_00135	1551	176.5	173.56	116.42
BHNFMJIF_00136	1124	67.5	61.09	56.55
BHNFMJIF_00137	800	56.0	51.52	67.00
BHNFMJIF_00138	438	366.5	360.69	856.78
BHNFMJIF_00139	1287	110.5	108.81	87.97
BHNFMJIF_00140	678	71.5	69.16	106.14
BHNFMJIF_00141	738	92.0	89.39	126.02
BHNFMJIF_00142	1548	196.0	190.34	127.93
BHNFMJIF_00143	591	44.0	41.94	73.84
BHNFMJIF_00144	1659	1907.0	1863.09	1168.43
BHNFMJIF_00145	732	1209.5	1141.24	1622.11
BHNFMJIF_00146	2460	65.5	63.60	26.90
BHNFMJIF_00147	396	1.5	1.31	3.44
BHNFMJIF_00148	1773	22.0	21.85	12.82
BHNFMJIF_00151	583	68.5	59.02	105.32
BHNFMJIF_00152	525	188.5	118.54	234.91
BHNFMJIF_00153	467	278.0	243.39	542.26
BHNFMJIF_00154	618	166.5	153.85	259.02
BHNFMJIF_00155	1447	143.0	137.37	98.77
BHNFMJIF_00156	568	123.5	112.72	206.48
BHNFMJIF_00157	2304	108.0	101.11	45.66
BHNFMJIF_00158	398	208.5	179.49	469.22
BHNFMJIF_00159	305	543.0	471.78	1609.36
BHNFMJIF_00160	1653	602.5	590.71	371.80
BHNFMJIF_00161	162	22.0	10.72	68.85
BHNFMJIF_00162	150	22.5	13.09	90.79
BHNFMJIF_00163	123	9.5	4.95	41.85
BHNFMJIF_00164	657	33.0	29.49	46.70
BHNFMJIF_00165	1806	164.5	161.02	92.77
BHNFMJIF_00166	195	20.5	12.48	66.56
BHNFMJIF_00167	495	42.5	38.27	80.43
BHNFMJIF_00168	519	350.0	223.75	448.55
BHNFMJIF_00169	385	877.5	726.31	1962.80
BHNFMJIF_00170	244	337.0	292.65	1247.87
BHNFMJIF_00171	1086	88.5	75.51	72.35
BHNFMJIF_00172	1350	92.0	87.91	67.75
BHNFMJIF_00173	1038	80.5	72.48	72.65
BHNFMJIF_00174	867	58.0	54.20	65.05
BHNFMJIF_00175	1098	77.5	54.69	51.82
BHNFMJIF_00176	1056	90.0	88.27	86.97
BHNFMJIF_00177	1068	61.0	57.27	55.79
BHNFMJIF_00178	933	62.5	56.17	62.64
BHNFMJIF_00179	1032	64.5	59.68	60.16
BHNFMJIF_00180	1314	44.0	43.54	34.48
BHNFMJIF_00181	1262	78.5	74.43	61.37
BHNFMJIF_00182	1256	75.0	71.25	59.02
BHNFMJIF_00183	1533	73.0	72.10	48.94
BHNFMJIF_00184	834	116.0	111.21	138.73
BHNFMJIF_00185	1203	85.5	71.29	61.66
BHNFMJIF_00186	1854	560.5	528.74	296.72
