featureID	uniq_len	num_alignments	counts	tpm
JJAGMNAF_00001	1407	2680.5	2664.40	620.23
JJAGMNAF_00002	741	367.0	344.44	152.24
JJAGMNAF_00003	2547	967.0	954.86	122.79
JJAGMNAF_00004	3006	1993.5	1980.85	215.83
JJAGMNAF_00005	369	386.0	237.92	211.18
JJAGMNAF_00006	882	1437.5	1204.72	447.36
JJAGMNAF_00007	1026	1872.0	1732.31	553.00
JJAGMNAF_00008	1317	3637.0	3559.25	885.15
JJAGMNAF_00009	1674	2179.5	2173.98	425.35
JJAGMNAF_00010	201	1365.0	1087.73	1772.43
JJAGMNAF_00011	693	594.0	510.96	241.49
JJAGMNAF_00012	444	3745.0	2850.49	2102.71
JJAGMNAF_00013	270	6913.0	4646.04	5635.90
JJAGMNAF_00014	345	6175.5	5309.38	5040.44
JJAGMNAF_00015	447	577.5	523.17	383.33
JJAGMNAF_00016	183	309.0	271.87	486.58
JJAGMNAF_00017	699	3013.5	2592.23	1214.62
JJAGMNAF_00018	1599	8605.0	8417.20	1724.10
JJAGMNAF_00019	2160	98.0	97.79	14.83
JJAGMNAF_00020	147	1.0	0.51	1.14
JJAGMNAF_00021	1131	59.5	58.66	16.99
JJAGMNAF_00022	192	1651.5	1454.46	2481.10
JJAGMNAF_00023	1242	12592.0	12111.45	3193.88
JJAGMNAF_00024	906	69.0	44.19	15.97
JJAGMNAF_00025	1467	366.5	364.39	81.36
JJAGMNAF_00026	987	56.0	50.46	16.75
JJAGMNAF_00027	627	480.0	464.93	242.86
JJAGMNAF_00028	408	6325.5	5424.58	4354.62
JJAGMNAF_00029	891	7394.0	5624.58	2067.55
JJAGMNAF_00030	2676	2978.5	2880.54	352.56
JJAGMNAF_00031	1032	304.0	281.50	89.34
JJAGMNAF_00032	1938	139.5	128.96	21.80
JJAGMNAF_00033	2042	29.0	27.01	4.33
JJAGMNAF_00034	2591	40.5	39.58	5.00
JJAGMNAF_00035	1584	19.0	18.33	3.79
JJAGMNAF_00036	2508	18.5	18.02	2.35
JJAGMNAF_00037	4053	83.5	81.44	6.58
JJAGMNAF_00038	1614	13.5	13.50	2.74
JJAGMNAF_00039	510	0.0	0.00	0.00
JJAGMNAF_00040	1935	17.5	17.19	2.91
JJAGMNAF_00041	3072	41.0	38.60	4.12
JJAGMNAF_00042	1899	26.5	25.84	4.46
JJAGMNAF_00043	972	16.0	14.19	4.78
JJAGMNAF_00044	1122	29.5	29.32	8.56
JJAGMNAF_00045	966	34.5	32.86	11.14
JJAGMNAF_00046	1539	61.0	57.90	12.32
JJAGMNAF_00047	792	193.5	186.16	76.99
JJAGMNAF_00048	906	24.5	14.27	5.16
JJAGMNAF_00049	1385	8641.5	8342.35	1972.80
JJAGMNAF_00050	632	3623.5	3382.30	1752.83
JJAGMNAF_00051	1041	849.0	832.42	261.90
JJAGMNAF_00052	1920	99.0	95.54	16.30
JJAGMNAF_00053	654	647.5	605.36	303.17
JJAGMNAF_00054	1296	297.5	269.11	68.01
JJAGMNAF_00055	543	380.5	368.10	222.03
JJAGMNAF_00056	783	266.0	264.45	110.62
JJAGMNAF_00057	975	407.5	395.62	132.90
JJAGMNAF_00058	1803	686.5	634.12	115.19
JJAGMNAF_00059	576	352.5	329.40	187.30
JJAGMNAF_00060	1164	754.0	735.84	207.05
JJAGMNAF_00061	3173	237.0	230.30	23.77
JJAGMNAF_00062	1470	117.5	112.46	25.06
JJAGMNAF_00063	3067	393.5	389.91	41.64
JJAGMNAF_00064	1068	256.0	249.64	76.56
JJAGMNAF_00065	1650	68.0	66.51	13.20
JJAGMNAF_00066	1512	72.0	71.01	15.38
JJAGMNAF_00067	903	25.5	23.07	8.37
JJAGMNAF_00068	1905	39.0	37.75	6.49
JJAGMNAF_00069	1095	35.5	34.95	10.45
JJAGMNAF_00070	249	20.0	17.65	23.22
JJAGMNAF_00071	867	108.5	96.06	36.29
JJAGMNAF_00072	222	12.5	11.62	17.15
JJAGMNAF_00073	999	115.0	109.15	35.78
JJAGMNAF_00074	1080	77.5	73.89	22.41
JJAGMNAF_00075	771	518.0	506.73	215.26
JJAGMNAF_00076	867	265.5	248.43	93.85
JJAGMNAF_00077	783	302.5	272.74	114.09
JJAGMNAF_00078	1569	1432.5	1373.27	286.67
JJAGMNAF_00079	858	515.0	467.70	178.53
JJAGMNAF_00080	543	590.5	514.29	310.21
JJAGMNAF_00081	660	1567.0	1507.26	747.98
JJAGMNAF_00082	3705	5436.0	5431.07	480.11
JJAGMNAF_00083	4017	715.0	714.67	58.27
JJAGMNAF_00084	545	74.5	69.31	41.65
JJAGMNAF_00085	569	95.5	78.80	45.36
JJAGMNAF_00086	1500	1152.5	1147.07	250.46
JJAGMNAF_00087	2802	2501.5	2492.50	291.35
JJAGMNAF_00088	1032	213.5	204.52	64.91
JJAGMNAF_00089	2307	518.5	505.05	71.70
