featureID	uniq_len	num_alignments	counts	tpm
BHNFMJIF_00001	714	17.5	13.91	24.14
BHNFMJIF_00002	681	29.5	23.06	41.94
BHNFMJIF_00003	398	12.0	11.32	35.22
BHNFMJIF_00004	448	15.5	8.03	22.20
BHNFMJIF_00005	314	29.0	17.71	69.87
BHNFMJIF_00006	318	31.0	22.34	87.03
BHNFMJIF_00007	1305	95.5	91.46	86.82
BHNFMJIF_00008	399	48.5	36.43	113.10
BHNFMJIF_00009	699	78.0	71.92	127.46
BHNFMJIF_00010	1035	31.0	30.07	35.99
BHNFMJIF_00011	192	1.0	0.94	6.07
BHNFMJIF_00012	784	65.0	54.92	86.77
BHNFMJIF_00013	1120	120.5	119.23	131.88
BHNFMJIF_00014	338	11.5	9.95	36.48
BHNFMJIF_00015	2663	6.0	5.65	2.63
BHNFMJIF_00016	360	4.0	3.35	11.51
BHNFMJIF_00017	459	0.5	0.17	0.47
BHNFMJIF_00018	573	2.5	2.07	4.48
BHNFMJIF_00019	1407	5.0	5.00	4.40
BHNFMJIF_00020	708	5.5	4.56	7.97
BHNFMJIF_00021	315	1.0	0.80	3.14
BHNFMJIF_00022	1511	25.5	22.88	18.76
BHNFMJIF_00023	347	7.5	4.50	16.06
BHNFMJIF_00024	1014	16.5	14.00	17.11
BHNFMJIF_00025	189	4.5	2.21	14.49
BHNFMJIF_00026	1087	6.5	5.85	6.66
BHNFMJIF_00027	677	3.0	2.33	4.26
BHNFMJIF_00028	1005	6.0	5.85	7.21
BHNFMJIF_00029	589	0.5	0.50	1.05
BHNFMJIF_00030	485	4.0	3.58	9.14
BHNFMJIF_00032	120	6.5	5.52	56.95
BHNFMJIF_00033	182	5.0	3.60	24.51
BHNFMJIF_00034	171	3.5	1.80	13.02
BHNFMJIF_00035	640	17.0	16.48	31.90
BHNFMJIF_00036	285	15.5	11.08	48.14
BHNFMJIF_00037	174	7.0	6.13	43.63
BHNFMJIF_00038	105	0.5	0.02	0.25
BHNFMJIF_00039	308	70.0	54.45	219.00
BHNFMJIF_00040	362	55.0	35.55	121.66
BHNFMJIF_00041	288	4.5	2.37	10.20
BHNFMJIF_00042	276	3.5	2.42	10.88
BHNFMJIF_00043	190	3.5	1.29	8.44
BHNFMJIF_00044	166	4.0	2.28	17.01
BHNFMJIF_00045	411	9.0	6.86	20.67
BHNFMJIF_00046	467	14.0	12.43	32.97
BHNFMJIF_00047	248	3.5	3.42	17.06
BHNFMJIF_00048	240	3.0	2.08	10.74
BHNFMJIF_00049	280	6.5	5.32	23.55
BHNFMJIF_00050	343	8.5	5.61	20.28
BHNFMJIF_00051	198	5.5	4.15	25.98
BHNFMJIF_00052	210	9.5	4.40	25.97
BHNFMJIF_00053	237	11.5	7.11	37.14
BHNFMJIF_00054	99	2.0	0.66	8.23
BHNFMJIF_00055	786	35.5	31.36	49.42
BHNFMJIF_00056	345	148.5	127.40	457.45
BHNFMJIF_00057	318	134.0	83.96	327.05
BHNFMJIF_00058	318	3.5	2.95	11.48
BHNFMJIF_00059	594	7.5	6.29	13.12
BHNFMJIF_00060	342	14.5	11.35	41.12
BHNFMJIF_00061	210	13.5	8.62	50.84
BHNFMJIF_00062	924	38.5	29.58	39.66
BHNFMJIF_00063	2112	129.0	124.59	73.08
BHNFMJIF_00064	393	8.0	7.30	23.01
BHNFMJIF_00065	216	0.5	0.11	0.66
BHNFMJIF_00066	180	0.5	0.50	3.44
BHNFMJIF_00067	359	2.0	0.62	2.15
BHNFMJIF_00068	188	2.5	1.81	11.92
BHNFMJIF_00069	2517	28.0	26.62	13.10
BHNFMJIF_00070	402	2.0	1.98	6.11
BHNFMJIF_00071	556	0.5	0.06	0.14
BHNFMJIF_00072	988	4.5	3.74	4.69
BHNFMJIF_00073	1157	6.5	6.05	6.48
BHNFMJIF_00074	626	3.0	2.74	5.43
BHNFMJIF_00075	464	1.0	1.00	2.67
BHNFMJIF_00076	179	0.0	0.00	0.00
BHNFMJIF_00077	734	5.5	4.94	8.33
BHNFMJIF_00078	428	1.0	0.60	1.74
BHNFMJIF_00079	186	0.5	0.39	2.62
BHNFMJIF_00080	427	1.0	1.00	2.90
BHNFMJIF_00081	628	2.0	2.00	3.95
BHNFMJIF_00082	446	1.5	1.50	4.17
BHNFMJIF_00083	813	2.5	1.47	2.25
BHNFMJIF_00084	913	4.0	3.21	4.35
BHNFMJIF_00085	258	0.5	0.03	0.12
BHNFMJIF_00086	228	1.0	0.92	4.99
BHNFMJIF_00088	186	1.0	0.55	3.67
BHNFMJIF_00089	183	3.5	1.87	12.65
BHNFMJIF_00090	246	4.0	3.38	17.02
BHNFMJIF_00091	327	0.0	0.00	0.00
BHNFMJIF_00092	543	48.5	44.89	102.42
BHNFMJIF_00093	780	56.5	47.52	75.46
BHNFMJIF_00094	1260	115.0	104.26	102.50
BHNFMJIF_00095	309	44.5	33.87	135.78
BHNFMJIF_00096	210	29.0	12.16	71.74
BHNFMJIF_00097	315	191.0	186.21	732.28
BHNFMJIF_00098	171	0.0	0.00	0.00
BHNFMJIF_00099	291	11.0	8.84	37.61
BHNFMJIF_00100	1665	219.0	213.30	158.69
BHNFMJIF_00101	1089	97.5	93.27	106.10
BHNFMJIF_00102	698	17.0	16.25	28.83
BHNFMJIF_00103	545	70.0	69.41	157.76
BHNFMJIF_00104	2220	377.5	377.37	210.58
BHNFMJIF_00105	849	113.0	107.79	157.27
BHNFMJIF_00106	630	65.0	53.39	104.98
BHNFMJIF_00107	639	79.5	74.45	144.33
BHNFMJIF_00108	2850	315.5	308.99	134.31
BHNFMJIF_00109	2715	284.0	261.83	119.46
BHNFMJIF_00110	237	18.0	13.20	68.98
BHNFMJIF_00111	228	5.0	4.74	25.76
BHNFMJIF_00112	1668	724.5	672.55	499.48
BHNFMJIF_00113	1176	220.0	167.05	175.97
BHNFMJIF_00114	1224	24.5	22.91	23.18
BHNFMJIF_00115	565	10.5	7.67	16.82
BHNFMJIF_00116	3637	38.5	37.92	12.92
BHNFMJIF_00117	2058	52.0	51.97	31.28
BHNFMJIF_00118	879	2.0	0.95	1.34
BHNFMJIF_00119	1359	1.5	1.50	1.37
BHNFMJIF_00120	789	1.0	1.00	1.57
BHNFMJIF_00121	1089	3.5	2.62	2.98
BHNFMJIF_00122	1152	21.5	20.09	21.60
BHNFMJIF_00123	1285	85.0	82.25	79.29
BHNFMJIF_00124	1594	103.0	100.75	78.29
BHNFMJIF_00125	735	85.5	60.63	102.18
BHNFMJIF_00126	870	2397.0	2260.29	3218.37
BHNFMJIF_00127	1593	2151.5	2030.89	1579.29
BHNFMJIF_00128	558	615.0	528.06	1172.30
BHNFMJIF_00129	501	582.0	441.64	1092.01
BHNFMJIF_00130	255	170.5	130.53	634.10
BHNFMJIF_00131	1092	656.5	600.63	681.36
BHNFMJIF_00132	414	357.5	219.11	655.61
BHNFMJIF_00133	255	350.5	290.77	1412.52
BHNFMJIF_00134	1536	1830.5	1783.20	1438.13
BHNFMJIF_00135	1551	146.0	143.64	114.72
BHNFMJIF_00136	1124	58.5	51.68	56.96
BHNFMJIF_00137	800	52.5	47.48	73.52
BHNFMJIF_00138	438	313.5	307.78	870.47
BHNFMJIF_00139	1287	84.5	78.98	76.02
BHNFMJIF_00140	678	55.0	49.79	90.97
BHNFMJIF_00141	738	60.0	57.19	96.00
BHNFMJIF_00142	1548	173.0	168.07	134.49
BHNFMJIF_00143	591	34.0	33.31	69.81
BHNFMJIF_00144	1659	1725.0	1687.85	1260.31
BHNFMJIF_00145	732	1034.0	974.22	1648.68
BHNFMJIF_00146	2460	45.5	44.14	22.23
BHNFMJIF_00147	396	2.0	1.39	4.35
BHNFMJIF_00148	1773	28.0	27.26	19.04
BHNFMJIF_00151	583	60.0	50.16	106.58
BHNFMJIF_00152	525	140.5	89.42	211.00
BHNFMJIF_00153	467	221.5	197.85	524.83
BHNFMJIF_00154	618	143.5	132.12	264.83
BHNFMJIF_00155	1447	104.5	100.85	86.34
BHNFMJIF_00156	568	99.5	94.62	206.37
BHNFMJIF_00157	2304	100.5	95.25	51.21
BHNFMJIF_00158	398	190.5	166.68	518.80
BHNFMJIF_00159	305	401.0	349.16	1418.14
BHNFMJIF_00160	1653	493.0	486.12	364.30
BHNFMJIF_00161	162	15.5	8.43	64.46
BHNFMJIF_00162	150	18.0	10.23	84.52
BHNFMJIF_00163	123	7.5	2.54	25.62
BHNFMJIF_00164	657	26.5	23.50	44.30
BHNFMJIF_00165	1806	128.5	126.59	86.83
BHNFMJIF_00166	195	16.5	10.68	67.86
