ATCC8482_locus_tag	CL09_locus_tag	ATCC8482_gene	CL09_gene	ATCC8482_product	CL09_product	forward_bitscore	reverse_bitscore	forward_pident	reverse_pident	forward_qcovs	reverse_qcovs
JJAGMNAF_00001	BHNFMJIF_02495	dnaA	dnaA	Chromosomal replication initiator protein DnaA	Chromosomal replication initiator protein DnaA	971.0	971.0	100.0	100.0	100.0	100.0
JJAGMNAF_00002	BHNFMJIF_02494		nfrA2	hypothetical protein	FMN reductase [NAD(P)H]	514.0	514.0	99.593	99.593	100.0	100.0
JJAGMNAF_00003	BHNFMJIF_02493			hypothetical protein	hypothetical protein	1650.0	1649.0	99.764	99.764	100.0	100.0
JJAGMNAF_00004	BHNFMJIF_02492			hypothetical protein	hypothetical protein	1958.0	1958.0	99.9	99.9	100.0	100.0
JJAGMNAF_00005	BHNFMJIF_02491	folB	folB	Dihydroneopterin aldolase	Dihydroneopterin aldolase	257.0	257.0	100.0	100.0	100.0	100.0
JJAGMNAF_00006	BHNFMJIF_02490			hypothetical protein	hypothetical protein	611.0	611.0	100.0	100.0	100.0	100.0
JJAGMNAF_00007	BHNFMJIF_02489			hypothetical protein	hypothetical protein	710.0	710.0	100.0	100.0	100.0	100.0
JJAGMNAF_00008	BHNFMJIF_02488	mtaB	mtaB	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	907.0	907.0	100.0	100.0	100.0	100.0
JJAGMNAF_00009	BHNFMJIF_02487			Long-chain-fatty-acid--CoA ligase FadD15	Long-chain-fatty-acid--CoA ligase FadD15	1147.0	1147.0	100.0	100.0	100.0	100.0
JJAGMNAF_00011	BHNFMJIF_02485			hypothetical protein	hypothetical protein	469.0	469.0	100.0	100.0	100.0	100.0
JJAGMNAF_00012	BHNFMJIF_02484	rplI	rplI	Large ribosomal subunit protein bL9	Large ribosomal subunit protein bL9	288.0	288.0	100.0	100.0	100.0	100.0
JJAGMNAF_00013	BHNFMJIF_02483	rpsR	rpsR	Small ribosomal subunit protein bS18	Small ribosomal subunit protein bS18	182.0	182.0	100.0	100.0	100.0	100.0
JJAGMNAF_00014	BHNFMJIF_02482	rpsF	rpsF	Small ribosomal subunit protein bS6	Small ribosomal subunit protein bS6	231.0	231.0	100.0	100.0	100.0	100.0
JJAGMNAF_00015	BHNFMJIF_02481	slyA	slyA	Transcriptional regulator SlyA	Transcriptional regulator SlyA	299.0	299.0	99.324	99.324	100.0	100.0
JJAGMNAF_00016	BHNFMJIF_02480			hypothetical protein	hypothetical protein	61.6	61.6	100.0	100.0	100.0	100.0
JJAGMNAF_00017	BHNFMJIF_02478	mprA	mprA	Response regulator MprA	Response regulator MprA	473.0	473.0	100.0	100.0	100.0	100.0
JJAGMNAF_00018	BHNFMJIF_02477	sasA_1	sasA_6	Adaptive-response sensory-kinase SasA	Adaptive-response sensory-kinase SasA	1035.0	1035.0	100.0	100.0	100.0	100.0
