locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJAGMNAF_00001	CDS	1407	dnaA	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
JJAGMNAF_00002	CDS	741				hypothetical protein
JJAGMNAF_00003	CDS	2547				hypothetical protein
JJAGMNAF_00004	CDS	3006				hypothetical protein
JJAGMNAF_00005	CDS	369	folB	4.1.2.25		Dihydroneopterin aldolase
JJAGMNAF_00006	CDS	882				hypothetical protein
JJAGMNAF_00007	CDS	1026				hypothetical protein
JJAGMNAF_00008	CDS	1317	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
JJAGMNAF_00009	CDS	1674		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
JJAGMNAF_00010	CDS	201				hypothetical protein
JJAGMNAF_00011	CDS	693				hypothetical protein
JJAGMNAF_00012	CDS	444	rplI		COG0359	Large ribosomal subunit protein bL9
JJAGMNAF_00013	CDS	270	rpsR			Small ribosomal subunit protein bS18
JJAGMNAF_00014	CDS	345	rpsF			Small ribosomal subunit protein bS6
JJAGMNAF_00015	CDS	447	slyA			Transcriptional regulator SlyA
JJAGMNAF_00016	CDS	183				hypothetical protein
JJAGMNAF_00017	CDS	699	mprA		COG0745	Response regulator MprA
JJAGMNAF_00018	CDS	1599	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
JJAGMNAF_00019	CDS	2160	fusA_1		COG0480	Elongation factor G
JJAGMNAF_00020	CDS	147				hypothetical protein
JJAGMNAF_00021	CDS	1131	hemW		COG0635	Heme chaperone HemW
JJAGMNAF_00022	CDS	192				hypothetical protein
JJAGMNAF_00023	CDS	1242				hypothetical protein
JJAGMNAF_00024	CDS	906				IS982 family transposase IS195
JJAGMNAF_00025	CDS	1467				hypothetical protein
JJAGMNAF_00026	CDS	987				hypothetical protein
JJAGMNAF_00027	CDS	627				hypothetical protein
JJAGMNAF_00028	CDS	408				hypothetical protein
JJAGMNAF_00029	CDS	891				hypothetical protein
JJAGMNAF_00030	CDS	2676	btuB_1			Vitamin B12 transporter BtuB
JJAGMNAF_00031	CDS	1032				hypothetical protein
JJAGMNAF_00032	CDS	1938				hypothetical protein
JJAGMNAF_00033	CDS	2046		3.2.1.131	COG3661	Extracellular xylan exo-alpha-(1->2)-glucuronosidase
JJAGMNAF_00034	CDS	2595				hypothetical protein
JJAGMNAF_00035	CDS	1584		3.2.1.-	COG3507	Beta-xylosidase
JJAGMNAF_00036	CDS	2508				hypothetical protein
JJAGMNAF_00037	CDS	4053	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JJAGMNAF_00038	CDS	1614				IS66 family transposase ISBvu4
JJAGMNAF_00039	CDS	510				hypothetical protein
JJAGMNAF_00040	CDS	1935				hypothetical protein
JJAGMNAF_00041	CDS	3072			COG4771	TonB-dependent receptor P3
JJAGMNAF_00042	CDS	1899		3.2.1.55	COG3507	Non-reducing end alpha-L-arabinofuranosidase BoGH43A
JJAGMNAF_00043	CDS	972	xsa			Xylosidase/arabinosidase
JJAGMNAF_00044	CDS	1122	xylI	3.2.1.8		Endo-1,4-beta-xylanase A
JJAGMNAF_00045	CDS	966				IS110 family transposase ISCaa14
JJAGMNAF_00046	CDS	1539	yicJ		COG2211	Inner membrane symporter YicJ
