locus_tag	ftype	length_bp	gene	EC_number	COG	product
BHNFMJIF_00001	CDS	714				hypothetical protein
BHNFMJIF_00002	CDS	681				hypothetical protein
BHNFMJIF_00003	CDS	402				hypothetical protein
BHNFMJIF_00004	CDS	462				hypothetical protein
BHNFMJIF_00005	CDS	324				hypothetical protein
BHNFMJIF_00006	CDS	318				hypothetical protein
BHNFMJIF_00007	CDS	1305				hypothetical protein
BHNFMJIF_00008	CDS	399				hypothetical protein
BHNFMJIF_00009	CDS	699				hypothetical protein
BHNFMJIF_00010	CDS	1035				hypothetical protein
BHNFMJIF_00011	CDS	192	relK	3.1.-.-	COG4115	Toxin RelK
BHNFMJIF_00012	CDS	795				hypothetical protein
BHNFMJIF_00013	CDS	1131				hypothetical protein
BHNFMJIF_00014	CDS	342				hypothetical protein
BHNFMJIF_00015	CDS	2667				hypothetical protein
BHNFMJIF_00016	CDS	360				hypothetical protein
BHNFMJIF_00017	CDS	459				hypothetical protein
BHNFMJIF_00018	CDS	573				hypothetical protein
BHNFMJIF_00019	CDS	1407				hypothetical protein
BHNFMJIF_00020	CDS	708				hypothetical protein
BHNFMJIF_00021	CDS	315				hypothetical protein
BHNFMJIF_00022	CDS	1512				hypothetical protein
BHNFMJIF_00023	CDS	348				hypothetical protein
BHNFMJIF_00024	CDS	1014				hypothetical protein
BHNFMJIF_00025	CDS	189				hypothetical protein
BHNFMJIF_00026	CDS	1137	lysA_1	4.1.1.20	COG0019	Diaminopimelate decarboxylase
BHNFMJIF_00027	CDS	750				hypothetical protein
BHNFMJIF_00028	CDS	1032				hypothetical protein
BHNFMJIF_00029	CDS	609				hypothetical protein
BHNFMJIF_00030	CDS	501				hypothetical protein
BHNFMJIF_00031	tRNA	74				tRNA-Phe(gaa)
BHNFMJIF_00032	CDS	120				hypothetical protein
BHNFMJIF_00033	CDS	186				hypothetical protein
BHNFMJIF_00034	CDS	186				hypothetical protein
BHNFMJIF_00035	CDS	651				hypothetical protein
BHNFMJIF_00036	CDS	285				hypothetical protein
BHNFMJIF_00037	CDS	174				hypothetical protein
BHNFMJIF_00038	CDS	105				hypothetical protein
BHNFMJIF_00039	CDS	312				hypothetical protein
BHNFMJIF_00040	CDS	366				hypothetical protein
BHNFMJIF_00041	CDS	288				hypothetical protein
BHNFMJIF_00042	CDS	276				hypothetical protein
BHNFMJIF_00043	CDS	201				hypothetical protein
BHNFMJIF_00044	CDS	177				hypothetical protein
BHNFMJIF_00045	CDS	411				hypothetical protein
BHNFMJIF_00046	CDS	471				hypothetical protein
BHNFMJIF_00047	CDS	252				hypothetical protein
BHNFMJIF_00048	CDS	240				hypothetical protein
BHNFMJIF_00049	CDS	288				hypothetical protein
BHNFMJIF_00050	CDS	351				hypothetical protein
BHNFMJIF_00051	CDS	198				hypothetical protein
BHNFMJIF_00052	CDS	210				hypothetical protein
BHNFMJIF_00053	CDS	237				hypothetical protein
BHNFMJIF_00054	CDS	99				hypothetical protein
BHNFMJIF_00055	CDS	786	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
BHNFMJIF_00056	CDS	345				hypothetical protein
BHNFMJIF_00057	CDS	318				hypothetical protein
BHNFMJIF_00058	CDS	318				hypothetical protein
BHNFMJIF_00059	CDS	594				hypothetical protein
BHNFMJIF_00060	CDS	342				hypothetical protein
BHNFMJIF_00061	CDS	210				hypothetical protein
BHNFMJIF_00062	CDS	924				hypothetical protein
BHNFMJIF_00063	CDS	2112				hypothetical protein
BHNFMJIF_00064	CDS	393				hypothetical protein
BHNFMJIF_00065	CDS	216				hypothetical protein
BHNFMJIF_00066	CDS	180				hypothetical protein
BHNFMJIF_00067	CDS	363				hypothetical protein
BHNFMJIF_00068	CDS	192				hypothetical protein
BHNFMJIF_00069	CDS	2517				hypothetical protein
BHNFMJIF_00070	CDS	402				hypothetical protein
BHNFMJIF_00071	CDS	582				hypothetical protein
BHNFMJIF_00072	CDS	1014				hypothetical protein
BHNFMJIF_00073	CDS	1173	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
BHNFMJIF_00074	CDS	642				hypothetical protein
BHNFMJIF_00075	CDS	480				hypothetical protein
BHNFMJIF_00076	CDS	195				hypothetical protein
BHNFMJIF_00077	CDS	738				hypothetical protein
BHNFMJIF_00078	CDS	432				hypothetical protein
BHNFMJIF_00079	CDS	186				hypothetical protein
BHNFMJIF_00080	CDS	438				hypothetical protein
BHNFMJIF_00081	CDS	639				hypothetical protein
BHNFMJIF_00082	CDS	447				hypothetical protein
BHNFMJIF_00083	CDS	831				hypothetical protein
BHNFMJIF_00084	CDS	930				hypothetical protein
BHNFMJIF_00085	CDS	258				hypothetical protein
BHNFMJIF_00086	CDS	228				hypothetical protein
BHNFMJIF_00087	tRNA	83				tRNA-Arg(gcg)
BHNFMJIF_00088	CDS	186				hypothetical protein
BHNFMJIF_00089	CDS	183				hypothetical protein
BHNFMJIF_00090	CDS	246				hypothetical protein
BHNFMJIF_00091	CDS	327				hypothetical protein
BHNFMJIF_00092	CDS	543				hypothetical protein
BHNFMJIF_00093	CDS	780				hypothetical protein
BHNFMJIF_00094	CDS	1260				hypothetical protein
BHNFMJIF_00095	CDS	309				hypothetical protein
BHNFMJIF_00096	CDS	210				hypothetical protein
BHNFMJIF_00097	CDS	315				hypothetical protein
BHNFMJIF_00098	CDS	171				hypothetical protein
BHNFMJIF_00099	CDS	291				hypothetical protein
BHNFMJIF_00100	CDS	1665		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
BHNFMJIF_00101	CDS	1089	lipB	2.3.1.181		Octanoyltransferase
