featureID	uniq_len	num_alignments	counts	tpm
JJAGMNAF_00001	1407	638.5	633.12	312.34
JJAGMNAF_00002	741	500.0	471.22	441.41
JJAGMNAF_00003	2547	1278.0	1218.20	332.00
JJAGMNAF_00004	3006	319.5	318.60	73.57
JJAGMNAF_00005	369	63.0	48.85	91.90
JJAGMNAF_00006	882	458.0	416.66	327.91
JJAGMNAF_00007	1026	226.0	208.74	141.22
JJAGMNAF_00008	1317	515.0	506.91	267.17
JJAGMNAF_00009	1674	224.5	223.88	92.83
JJAGMNAF_00010	201	6623.5	5526.76	19086.10
JJAGMNAF_00011	693	28.0	25.49	25.53
JJAGMNAF_00012	444	1814.0	1623.78	2538.55
JJAGMNAF_00013	270	1489.5	1034.58	2659.77
JJAGMNAF_00014	345	1096.0	932.65	1876.48
JJAGMNAF_00015	447	101.5	78.31	121.60
JJAGMNAF_00016	183	1524.0	1447.49	5490.43
JJAGMNAF_00017	699	2920.5	2822.57	2802.91
JJAGMNAF_00018	1599	1810.5	1665.48	722.99
JJAGMNAF_00019	2160	5982.0	5936.40	1907.71
JJAGMNAF_00020	147	89.5	8.78	41.46
JJAGMNAF_00021	1131	20.0	19.64	12.05
JJAGMNAF_00022	192	1957.5	1636.51	5916.42
JJAGMNAF_00023	1242	2210.5	1695.65	947.67
JJAGMNAF_00024	906	53.0	30.45	23.33
JJAGMNAF_00025	1467	28.5	28.31	13.39
JJAGMNAF_00026	987	3.0	2.53	1.78
JJAGMNAF_00027	627	86.5	84.49	93.53
JJAGMNAF_00028	408	2396.5	1938.07	3297.25
JJAGMNAF_00029	891	2442.0	1591.87	1240.14
JJAGMNAF_00030	2676	595.0	575.58	149.30
JJAGMNAF_00031	1032	133.5	117.41	78.97
JJAGMNAF_00032	1938	53.5	42.45	15.21
JJAGMNAF_00033	2042	22.0	20.95	7.12
JJAGMNAF_00034	2591	27.0	26.56	7.12
JJAGMNAF_00035	1584	20.5	19.84	8.69
JJAGMNAF_00036	2508	40.5	39.15	10.84
JJAGMNAF_00037	4053	37.5	37.26	6.38
JJAGMNAF_00038	1614	13.0	13.00	5.59
JJAGMNAF_00039	510	0.0	0.00	0.00
JJAGMNAF_00040	1935	5.5	5.50	1.97
JJAGMNAF_00041	3072	13.0	13.00	2.94
JJAGMNAF_00042	1899	2.0	2.00	0.73
JJAGMNAF_00043	972	17.5	16.41	11.72
JJAGMNAF_00044	1122	2.5	2.50	1.55
JJAGMNAF_00045	966	10.5	9.83	7.06
JJAGMNAF_00046	1539	4.5	4.50	2.03
JJAGMNAF_00047	792	88.0	85.74	75.14
JJAGMNAF_00048	906	6.5	4.30	3.29
JJAGMNAF_00049	1385	2175.0	2038.80	1021.80
JJAGMNAF_00050	632	1757.5	1641.39	1802.76
JJAGMNAF_00051	1041	329.5	321.27	214.22
JJAGMNAF_00052	1920	46.5	42.76	15.46
JJAGMNAF_00053	654	331.5	314.63	333.94
JJAGMNAF_00054	1296	153.0	138.91	74.40
JJAGMNAF_00055	543	159.0	149.06	190.54
JJAGMNAF_00056	783	221.5	211.44	187.45
JJAGMNAF_00057	975	271.5	269.01	191.51
JJAGMNAF_00058	1803	337.0	316.62	121.89
JJAGMNAF_00059	576	239.0	231.39	278.85
JJAGMNAF_00060	1164	381.5	360.06	214.72
JJAGMNAF_00061	3173	181.5	179.52	39.27
JJAGMNAF_00062	1470	87.5	81.78	38.61
JJAGMNAF_00063	3067	183.0	179.51	40.63
JJAGMNAF_00064	1068	78.0	77.06	50.08
JJAGMNAF_00065	1650	35.5	34.66	14.58
JJAGMNAF_00066	1512	16.5	16.32	7.49
JJAGMNAF_00067	903	13.5	12.13	9.33
JJAGMNAF_00068	1905	29.0	26.92	9.81
JJAGMNAF_00069	1095	30.5	30.27	19.19
JJAGMNAF_00070	249	39.5	35.81	99.83
JJAGMNAF_00071	867	68.5	61.28	49.06
JJAGMNAF_00072	222	33.0	29.25	91.47
JJAGMNAF_00073	999	27.0	25.97	18.04
JJAGMNAF_00074	1080	99.5	91.92	59.08
JJAGMNAF_00075	771	392.5	387.97	349.29
JJAGMNAF_00076	867	118.0	103.81	83.11
JJAGMNAF_00077	783	109.5	102.85	91.18
JJAGMNAF_00078	1569	617.5	598.48	264.77
JJAGMNAF_00079	858	225.5	213.10	172.40
JJAGMNAF_00080	543	142.5	120.12	153.55
JJAGMNAF_00081	660	285.5	268.39	282.27
JJAGMNAF_00082	3705	1692.5	1688.44	316.33
