featureID	uniq_len	num_alignments	counts	tpm
JJAGMNAF_00001	1407	2035.5	2023.55	654.47
JJAGMNAF_00002	741	251.5	241.65	148.40
JJAGMNAF_00003	2547	690.0	684.79	122.35
JJAGMNAF_00004	3006	1228.0	1219.63	184.63
JJAGMNAF_00005	369	243.0	152.22	187.72
JJAGMNAF_00006	882	900.5	792.66	408.97
JJAGMNAF_00007	1026	1137.0	1058.19	469.34
JJAGMNAF_00008	1317	2366.0	2319.29	801.39
JJAGMNAF_00009	1674	1629.5	1627.14	442.33
JJAGMNAF_00010	201	1421.5	1173.08	2655.86
JJAGMNAF_00011	693	322.5	278.87	183.12
JJAGMNAF_00012	444	2822.0	2296.78	2354.01
JJAGMNAF_00013	270	4440.5	3135.90	5285.32
JJAGMNAF_00014	345	4133.0	3639.56	4800.68
JJAGMNAF_00015	447	436.0	415.50	423.00
JJAGMNAF_00016	183	237.5	218.57	543.52
JJAGMNAF_00017	699	2159.0	2015.13	1311.89
JJAGMNAF_00018	1599	5633.5	5577.08	1587.20
JJAGMNAF_00019	2160	68.0	67.65	14.25
JJAGMNAF_00020	147	1.0	0.70	2.17
JJAGMNAF_00021	1131	36.0	34.76	13.98
JJAGMNAF_00022	192	1585.0	1452.00	3441.42
JJAGMNAF_00023	1242	7452.5	7183.30	2631.94
JJAGMNAF_00024	906	57.5	37.53	18.85
JJAGMNAF_00025	1467	214.5	212.24	65.84
JJAGMNAF_00026	987	48.5	46.28	21.34
JJAGMNAF_00027	627	329.5	317.07	230.12
JJAGMNAF_00028	408	5373.5	4586.03	5115.05
JJAGMNAF_00029	891	5622.0	4198.49	2144.31
JJAGMNAF_00030	2676	2008.5	1939.00	329.73
JJAGMNAF_00031	1032	176.0	155.62	68.62
JJAGMNAF_00032	1938	77.5	68.54	16.09
JJAGMNAF_00033	2042	17.0	16.62	3.70
JJAGMNAF_00034	2591	30.5	29.53	5.19
JJAGMNAF_00035	1584	18.0	17.52	5.03
JJAGMNAF_00036	2508	16.0	15.56	2.82
JJAGMNAF_00037	4053	81.0	79.34	8.91
JJAGMNAF_00038	1614	12.5	12.50	3.52
JJAGMNAF_00039	510	0.0	0.00	0.00
JJAGMNAF_00040	1935	16.0	15.52	3.65
JJAGMNAF_00041	3072	31.5	30.71	4.55
JJAGMNAF_00042	1899	24.5	24.18	5.79
JJAGMNAF_00043	972	16.5	15.48	7.25
JJAGMNAF_00044	1122	21.5	21.50	8.72
JJAGMNAF_00045	966	28.5	27.57	12.99
JJAGMNAF_00046	1539	36.5	34.48	10.20
